KEY ID	Italian
QCAccAIsLying	{0} sta mentendo
QCAccAIsLying_QCCrewNoOne	Nessuno sta mentendo
QCAccAIsLyingNeg_QCCrewMe	Dico la verità
QCAccAIsLyingNeg	{0} dice la verità
QCAccAIsLyingNeg_QCCrewNoOne	Nessuno dice la verità
QCAccVoteA_QCCrewMe	Votatemi
QCAccVoteA	Votate {0}
QCAccVoteA_QCCrewNoOne	Non votate nessuno
QCAccVoteANeg_QCCrewMe	Non votatemi
QCAccVoteANeg	Non votate {0}
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	Non ho segnalato il cadavere
QCAccADidntReport	{0} non ha segnalato il cadavere
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	Ero io
QCResAWas	{0} era
QCResAWas_QCCrewNoOne	Nessuno era
QCResAWasNeg_QCCrewMe	Io no
QCResAWasNeg	{0} no
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	Io l'ho fatto
QCResADid	{0} l'ha fatto
QCResADid_QCCrewNoOne	Nessuno l'ha fatto
QCResADidNeg_QCCrewMe	Io no
QCResADidNeg	{0} no
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	Ero in {1}
QCResAWasAtB	{0} era in {1}
QCResAWasAtB_QCCrewNoOne_ANY	Nessuno era in {1}
QCResAWasAtBNeg_QCCrewMe_ANY	Non ero in {1}
QCResAWasAtBNeg	{0} non era in {1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	Chi era con me?
QCQstWhoWasWith	Chi era con {0}?
QCQstWhoWasWith_QCCrewNoOne	Chi era da solo?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	Cosa stava facendo {0}?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	Dov'era {0}?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	Ho visto {1}
QCStaASawB_QCCrewMe_QCCrewNoOne	Non ho visto nessuno
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0} mi ha visto
QCStaASawB	{0} ha visto {1}
QCStaASawB_ANY_QCCrewNoOne	{0} non ha visto nessuno
QCStaASawB_QCCrewNoOne_QCCrewMe	Nessuno mi ha visto
QCStaASawB_QCCrewNoOne_ANY	Nessuno ha visto {1}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	Nessuno ha visto qualcuno
QCStaAWasWithB_QCCrewMe_ANY	Ero con {1}
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	Non ero con nessuno
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0} era con me
QCStaAWasWithB	{0} era con {1}
QCStaAWasWithB_ANY_QCCrewNoOne	{0} non era con nessuno
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	Nessuno era con me
QCStaAWasWithB_QCCrewNoOne_ANY	Nessuno era con {1}
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	Tutti erano da soli
QCStaADidB_QCCrewMe_ANY	Io ho fatto: {1}
QCStaADidB	{0} ha fatto: {1}
QCStaADidB_QCCrewNoOne_ANY	Nessuno ha fatto: {1}
QCStaASelfReported_QCCrewMe	Mi sono segnalato da solo
QCStaASelfReported	{0} si è segnalato da solo
QCStaASelfReported_QCCrewNoOne	Nessuno si è segnalato da solo
QCStaACalledMeeting_QCCrewMe	Ho convocato una riunione
QCStaACalledMeeting	{0} ha convocato una riunione
QCStaACalledMeeting_QCCrewNoOne	Nessuno ha convocato una riunione
QCMore	ANCORA
SecurityLogsSystem	Registri di sicurezza
SecurityCamsSystem	Telecamere di sicurezza
AdminMapSystem	Mappa amministrazione
VitalsSystem	Rilevatore segni vitali
EngagementScreenSignIn	Accesso in corso...
SaveGameOutOfSpaceConfirm	Continua
EngagementScreen	Premi un pulsante per iniziare.
SaveGameOutOfSpaceMessage	Vuoi continuare senza salvare?
SaveGameOutOfSpaceConfirm	Continua
SaveGameOutOfSpaceCancel	Riprova
Success	Successo!
Failed	Errore!
ErrorCreate	Qualcosa è andato storto durante la creazione del tuo account. Riprova più tardi.
SuccessCreate	Hai creato un account!
Close	Chiudi
ErrorLogIn	Qualcosa è andato storto durante l'accesso al tuo account. Riprova più tardi.
SuccessLogIn	Hai effettuato l'accesso al tuo account!
AccountInfo	INFORMAZIONI ACCOUNT
Account	ACCOUNT
UserName	NOME UTENTE
Height	Altezza
Weight	Peso
SignIn	Accedi
CreateAccount	Crea account
RequestPermission	Richiedi permesso
RandomizeName	Nome casuale
AccountLinking	Collegamento account
ChangeName	Cambia nome
LogOut	Esci
GuardianWait	Devi aspettare che il tuo tutore ti dia il permesso per usare la chat libera e modificare il tuo nome utente.
EmailEdit	Modifica email
EmailResend	Invia di nuovo email
GuestContinue	Modalità ospite
GuardianEmailSent	Inviata email al tutore
GuardianCheckEmail	Non dimenticare di dire al tuo tutore di controllare l'email per sbloccare tutte le funzionalità del gioco
EditName	Modifica nome
Name	Nome
CreateAccountQuestion	Creare account?
DoYouWantCreate	Vuoi creare un account?
PermissionRequired	Permesso richiesto
NeedPermissionText	Prima di continuare, dovremo chiedere il permesso al tuo tutore (via email). Se avrai il permesso, potrai usare la chat libera online e cambiare il tuo nome utente. Chiedi aiuto a un adulto!
GuardianEmailTitle	Email del tutore
Send	Invia
NewEmail	Nuova email
ConfirmEmail	Conferma email
EditEmail	Modifica email
Loading	Caricamento
Welcome	BENVENUTO
GuardianEmail	[Email del tuo tutore]
	
BanButton	BANNA
KickButton	ESPELLI
ReportButton	SEGNALA
ReportConfirmation	Hai segnalato l'utente seguente con successo.
ReportBadName	Nome inappropriato
ReportBadChat	Messaggi inappropriati
ReportHacking	Hacking/Cheating
ReportHarassment	Molestie/Comportamenti inappropriati
ReportWhy	Perché stai segnalando questo utente?
DLLNotFoundAccountError	Non è stato possibile connetterti ai servizi online. Finché il problema non sarà risolto, puoi giocare nelle modalità Locale e Gioco libero. Riprova più tardi.
ContinueOffline	Gioca offline
WantToLogIn	Al momento, non hai effettuato l'accesso a un account.
GoOffline	Vai offline
PlayAsGuest	Gioca come ospite
LogInTitle	Accedi al tuo account
LogInInfoText	- Un account ospite permette di giocare online senza collegare un account, ma non può essere recuperato se cambi dispositivo o rimuovi Among Us.\n- Se crei un account completo, puoi sempre accedere di nuovo in un secondo momento. Se non hai un account, ne verrà creato uno per te automaticamente.
LogInInfoTextSwitch	Se crei un account completo, puoi sempre accedere di nuovo in un secondo momento. Se non hai un account, ne verrà creato uno per te automaticamente.
ControllerDisconnectedMessage	Controller non collegato
FollowUs	Seguici!
	
QuickChatInstructionsStart	Le tue impostazioni di chat sono regolate su: Solo chat rapida
QuickChatInstructionsChild	Per accedere alla chat completa, devi chiedere il permesso a un genitore o a un tutore.
QuickChatInstructionsGuest	Per modificare questa opzione, devi aver effettuato l'accesso.
QuickChatInstructionsFull	Puoi modificare questa opzione nel menu Impostazioni.
	
SwitchEShopBrowseAll	Scopri tutti i prodotti sul Nintendo eShop
	
Download	Scarica
Upload	Carica
pk05_davehat	Cappello di Dave
pk05_Ellie	Ellie
pk05_Svenhat	Cappello di Sven
pk05_Burthat	Cappello di Burt
pk05_Ellryhat	Cresta di Ellry
pk05_monocles	Doppio monocolo
pk05_cheesetoppat	Tuba di formaggio
pk05_Macbethhat	Tuba di Mr. Macbeth
pk05_HenryToppat	Tuba di Henry
pk05_EllieToppat	Tuba di Ellie
pk05_GeoffreyToppat	Tuba di Geoffrey
	
	
InsufficientStorageError	Spazio di archiviazione disponibile insufficiente per scaricare il pacchetto. Libera spazio sul tuo dispositivo e riprova.
NetworkError	Si è verificato un errore di rete. Controlla le tue impostazioni di rete e riprova.
OtherDownloadError	Si è verificato un errore: {0}
DownloadingLabel	Download di {0} in corso
DownloadSizeLabel	Dimensioni del download: {0} MB
	
TimeRemaining	Tempo rimanente: {0}
DeadLabel	MORTI
	
InviteFriends	Invita amici
	
NutriLabel	NUTRIENTI
CO2Label	CO2
RADLabel	RAD
WaterLabel	ACQUA
	
DoorlogLabel	PORTE
VitalsLabel	SEGNI VITALI
OptionsLabel	PERSONALIZZA
ProceedLabel	PROCEDI
StartLabel	INIZIA
UseLabel	USA
PlayAgain	GIOCA ANCORA
QuitLabel	ESCI
ReportLabel	SEGNALA
SabotageLabel	SABOTA
VentLabel	CONDOTTO
KillLabel	UCCIDI
DiscussLabel	DISCUTETE!
SkippedVoting	VOTO SALTATO
SkipVoteLabel	SALTA VOTO
EmergencyMeeting	RIUNIONE D'EMERGENZA
BodyReported	CADAVERE SEGNALATO
SkinLabel	SKIN
HatLabel	CAPPELLI
PetLabel	COMPAGNI
AnnouncementLabel	ANNUNCI
	
UploadingLabel	CARICAMENTO IN CORSO
ConnectionLabel	Connessione:
NoneLabel	NESSUNA
PoorLabel	DEBOLE
GoodLabel	BUONA
LogLabel	REGISTRO
ReadingLabel	ANALISI
WeatherDataDownload	DOWNLOAD DATI CLIMA
AirshipBundle	Pacchetto Airship
PolusBundle	Pacchetto Polus
PolusSkinBundle	Pacchetto skin Polus
MiraBundle	Pacchetto MIRA HQ
MiraSkinBundle	Pacchetto skin MIRA HQ
PetAlien2	Pacchetto compagni Xenogranchio
PetAlien1	Pacchetto compagni Cerebrolumaca
PetAnimal	Pacchetto compagni Criceto
PetCrewmate	Pacchetto Mininauta
PetStickmin	Pacchetto compagni Stickmin
PrisonerSkin	Prigioniero
Cyborg_RHM	Right Hand Man Reborn
CCC_Officer	Center for Chaos Containment Chief
BeginLabel	AVVIA
QuietLabel	SHHHHHHH!
VentCleaning	Pulisci condotto
CleanUp	Pulisci
ProgressLabel	Progressi:
TermsOfUseTitle	Termini d'utilizzo
PPAndToUTitle	Informativa sulla privacy e Termini d'utilizzo
	
ErrorNotAuthenticated	Non è stato possibile autenticarti sui server di Among Us.\r\n\nPer giocare online, devi avere un account di Among Us. (Va bene anche un account ospite!)
ComePlayDiscord	Gioca ad Among Us con me! 
ShowAccountSupportID5	Mostra ID assistenza account
ShowAccountSupportID4	Premi altre 4 volte per mostrare
ShowAccountSupportID3	Non condividere questo ID
ShowAccountSupportID2	Non cliccare se stai effettuando uno stream
ShowAccountSupportID1	Confermo, mostrami questo ID
SupportIDLabel	ID assistenza: {0}
YouAreNotOnline	Sei offline.
NoDeadBodiesFound	Nessun cadavere trovato
SupportEmail	Contatta support@innersloth.com per qualsiasi richiesta di supporto.
PerfectLabel	PERFETTO
