KEY ID	Russian
QCAccAIsLying_QCCrewMe	Я лгу
QCAccAIsLying	{0} лжет
QCAccAIsLying_QCCrewNoOne	Никто не лжет
QCAccAIsLyingNeg_QCCrewMe	Я говорю правду
QCAccAIsLyingNeg	{0} говорит правду
QCAccAIsLyingNeg_QCCrewNoOne	Никто не говорит правду
QCAccVoteA_QCCrewMe	голосуем против меня
QCAccVoteA	голосуем против: {0}
QCAccVoteA_QCCrewNoOne	ни за кого не голосуем
QCAccVoteANeg_QCCrewMe	не голосуем против меня
QCAccVoteANeg	не голосуем против: {0}
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	Я не сообщил(-а) о трупе
QCAccADidntReport	{0} не сообщил(-а) о трупе
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	Я был(-а)
QCResAWas	{0} был(-а)
QCResAWas_QCCrewNoOne	Никто не был
QCResAWasNeg_QCCrewMe	Я не был(-а)
QCResAWasNeg	{0} не был(-а)
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	Я это сделал
QCResADid	{0} это сделал
QCResADid_QCCrewNoOne	Никто этого не делал
QCResADidNeg_QCCrewMe	Я этого не делал
QCResADidNeg	{0} этого не делал
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	Я был(-а) в(на): {1}
QCResAWasAtB	{0} был(-а) в(на): {1}
QCResAWasAtB_QCCrewNoOne_ANY	Никто не был в: {1}
QCResAWasAtBNeg_QCCrewMe_ANY	Я не был(-а) в(на): {1}
QCResAWasAtBNeg	{0} не был(-а) в: {1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	кто был со мной?
QCQstWhoWasWith	кто был с: {0}?
QCQstWhoWasWith_QCCrewNoOne	кто был один?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	что делал {0}?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	где был(-а) {0}?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	Я видел(-а): {1}
QCStaASawB_QCCrewMe_QCCrewNoOne	Я никого не видел(-а)
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0} меня видел(-а)
QCStaASawB	{0} видел(-а): {1}
QCStaASawB_ANY_QCCrewNoOne	{0} никого не видел(-а)
QCStaASawB_QCCrewNoOne_QCCrewMe	Никто меня не видел
QCStaASawB_QCCrewNoOne_ANY	Никто не видел: {1}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	Никто никого не видел
QCStaAWasWithB_QCCrewMe_ANY	Я был(-а) с: {1}
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	Я был(-а) один (одна)
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0} был(-а) со мной
QCStaAWasWithB	{0} был(-а)с: {1}
QCStaAWasWithB_ANY_QCCrewNoOne	{0} был(-а) один (одна)
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	Со мной никого не было
QCStaAWasWithB_QCCrewNoOne_ANY	С {1} никого не было
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	Никого ни с кем не было
QCStaADidB_QCCrewMe_ANY	Я занимался: {1}
QCStaADidB	{0} занимался: {1}
QCStaADidB_QCCrewNoOne_ANY	Никто не занимался: {1}
QCStaASelfReported_QCCrewMe	Я сдался сам
QCStaASelfReported	{0} сдался сам
QCStaASelfReported_QCCrewNoOne	Никто не сдался сам
QCStaACalledMeeting_QCCrewMe	Я созвал собрание
QCStaACalledMeeting	{0} созвал собрание
QCStaACalledMeeting_QCCrewNoOne	Никто не созвал собрание
QCMore	БОЛЬШЕ
SecurityLogsSystem	Журнал охраны
SecurityCamsSystem	Камеры охраны
AdminMapSystem	Карта админа
VitalsSystem	Монитор сердечного ритма
EngagementScreenSignIn	Выполняется вход...
SaveGameOutOfSpaceConfirm	Продолжить
EngagementScreen	Нажмите любую кнопку, чтобы начать.
SaveGameOutOfSpaceMessage	Продолжить без сохранения?
SaveGameOutOfSpaceConfirm	Продолжить
SaveGameOutOfSpaceCancel	Повторить попытку
Success	Успешно!
Failed	Ошибка!
ErrorCreate	При создании аккаунта произошла ошибка. Повторите попытку позже.
SuccessCreate	Аккаунт успешно создан!
Close	Закрыть
ErrorLogIn	Во время входа в аккаунт произошла ошибка. Повторите попытку позже.
SuccessLogIn	Вы успешно вошли в аккаунт!
AccountInfo	ДАННЫЕ АККАУНТА
Account	АККАУНТ
UserName	ИМЯ ПОЛЬЗОВАТЕЛЯ
Height	Рост
Weight	Вес
SignIn	Войти
CreateAccount	Создать аккаунт
RequestPermission	Запросить разрешение
RandomizeName	Случайное имя
AccountLinking	Связать аккаунты
ChangeName	Изменить имя
LogOut	Выйти
GuardianWait	Дождитесь, когда родитель или опекун даст вам разрешение на вход в свободный чат и смену имени.
EmailEdit	Изменить адрес электронной почты
EmailResend	Отправить письмо повторно
GuestContinue	Продолжить как гость
GuardianEmailSent	Письмо родителю/опекуну отправлено
GuardianCheckEmail	Напомните своему родителю или опекуну проверить почту, чтобы получить доступ ко всем функциям игры.
EditName	Изменить имя
Name	Имя
CreateAccountQuestion	Создать аккаунт?
DoYouWantCreate	Вы хотите создать аккаунт?
PermissionRequired	Требуется разрешение
NeedPermissionText	Для совершения этих действий нужно разрешение родителя или опекуна. Мы отправим письмо на электронную почту родителя/опекуна, и, при условии его согласия, вы сможете пользоваться свободным чатом в сетевой игре и изменить имя пользователя. Попросите взрослых помочь!
GuardianEmailTitle	Адрес электронной почты родителя/опекуна
Send	Отправить
NewEmail	Новый адрес электронной почты
ConfirmEmail	Подтвердить адрес электронной почты
EditEmail	Изменить адрес электронной почты
Loading	Загрузка
Welcome	ДОБРО ПОЖАЛОВАТЬ
GuardianEmail	[адрес электронной почты опекуна]
	
BanButton	БЛОК
KickButton	ВЫГНАТЬ
ReportButton	ЖАЛОБА
ReportConfirmation	Вы отправили жалобу на этого пользователя.
ReportBadName	Неприемлемое имя
ReportBadChat	Неприемлемые сообщения
ReportHacking	Использование читов / взлом игры
ReportHarassment	Оскорбления / неподобающее поведение
ReportWhy	Почему вы хотите пожаловаться на этого пользователя?
DLLNotFoundAccountError	При подключении к онлайн-сервисам возникла проблема. Пока она не будет исправлена, вы можете играть только по локальной сети или в режиме песочницы. Попробуйте еще раз позже.
ContinueOffline	Игра вне сети
WantToLogIn	Вы не вошли в аккаунт.
GoOffline	Выйти из сети
PlayAsGuest	Играть как гость
LogInTitle	Войти в аккаунт
LogInInfoText	— При помощи гостевого аккаунта можно играть по сети, не привязывая свой аккаунт, но его нельзя восстановить после смены устройств или удаления Among Us.\n— После регистрации полноценного аккаунта вы в любой момент сможете войти в него. Если у вас нет аккаунта, он будет создан автоматически.
LogInInfoTextSwitch	Если у вас нет аккаунта, он будет создан автоматически.
ControllerDisconnectedMessage	Геймпад отключен
FollowUs	Подпишитесь на нас!
	
QuickChatInstructionsStart	В настройках игры выбрано «Только быстрый чат».
QuickChatInstructionsChild	Попросите родителя или опекуна дать вам доступ к полному чату.
QuickChatInstructionsGuest	Для внесения изменений необходимо выполнить вход.
QuickChatInstructionsFull	Этот параметр можно изменить в меню настроек.
	
SwitchEShopBrowseAll	Смотреть все товары в Nintendo eShop
	
Download	Скачать
Upload	Загрузить
pk05_davehat	Шапка Дейва
pk05_Ellie	Элли
pk05_Svenhat	Шапка Свена
pk05_Burthat	Шапка Берта Кертиса
pk05_Ellryhat	Ирокез Эллри
pk05_monocles	Двойной монокль
pk05_cheesetoppat	Сырный цилиндр
pk05_Macbethhat	Цилиндр мистера Макбета
pk05_HenryToppat	Цилиндр Генри
pk05_EllieToppat	Цилиндр Элли
pk05_GeoffreyToppat	Цилиндр Джеффри
	
	
InsufficientStorageError	Недостаточно места для скачивания набора файлов. Освободите память на устройстве и попробуйте еще раз.
NetworkError	Ошибка сети. Проверьте настройки подключения и попробуйте еще раз.
OtherDownloadError	Произошла ошибка: {0}
DownloadingLabel	Скачивание {0}
DownloadSizeLabel	Размер загружаемого файла: {0} МБ
	
TimeRemaining	Осталось времени: {0}
DeadLabel	УБИТЫ
	
InviteFriends	Пригласить друзей
	
NutriLabel	УДОБР.
CO2Label	CO2
RADLabel	РАД.
WaterLabel	ВОДА
	
DoorlogLabel	ЖУРНАЛ
VitalsLabel	ПУЛЬС
OptionsLabel	НАСТРОЙКИ
ProceedLabel	ДАЛЕЕ
StartLabel	СТАРТ
UseLabel	ИСП.
PlayAgain	ЗАНОВО
QuitLabel	ВЫЙТИ
ReportLabel	ЗАЯВИТЬ
SabotageLabel	САБОТАЖ
VentLabel	ЛЮК
KillLabel	УБИТ
DiscussLabel	ОБСУЖДАЕМ!
SkippedVoting	ВОЗДЕРЖ.
SkipVoteLabel	ВОЗДЕРЖАТЬСЯ
EmergencyMeeting	СРОЧНОЕ СОБРАНИЕ
BodyReported	ОБНАРУЖЕН ТРУП
SkinLabel	КОСТЮМЫ
HatLabel	ШАПКИ
PetLabel	ПИТОМЦЫ
AnnouncementLabel	ОБЪЯВЛЕНИЯ
	
UploadingLabel	ЗАГРУЗКА
ConnectionLabel	Сигнал:
NoneLabel	НЕТ
PoorLabel	СЛАБЫЙ
GoodLabel	ХОРОШИЙ
LogLabel	ЖУРНАЛ
ReadingLabel	ОТЧЕТ
WeatherDataDownload	ЗАГРУЗКА ОТЧЕТА О ПОГОДЕ
AirshipBundle	Набор Airship
PolusBundle	Набор Polus
PolusSkinBundle	Набор костюмов карты Polus
MiraBundle	Набор MIRA HQ
MiraSkinBundle	Набор костюмов MIRA HQ
PetAlien2	Набор питомцев «Хедкраб»
PetAlien1	Набор питомцев «Мозгослизень»
PetAnimal	Набор питомцев «Хомяк»
PetCrewmate	Набор «Мини-астронавт»
PetStickmin	Набор питомцев «Stickmin»
PrisonerSkin	Узник
Cyborg_RHM	Киборг «Правая рука 2.0»
CCC_Officer	Глава Центра контроля хаоса
BeginLabel	ПУСК
QuietLabel	ТС-С-С!
VentCleaning	Прочистить люк
CleanUp	Прочистить
ProgressLabel	Загружено:
TermsOfUseTitle	Условия использования
PPAndToUTitle	Политика конфиденциальности и условия использования
	
ErrorNotAuthenticated	Серверы Among Us не смогли аутентифицировать вас.\r\n\nДля игры по сети необходим аккаунт Among Us. Гостевой аккаунт тоже подходит для этого!
ComePlayDiscord	Давай сыграем в Among Us! 
ShowAccountSupportID5	Показать ID поддержки аккаунта
ShowAccountSupportID4	Нажмите еще 4 раза, чтобы увидеть ID
ShowAccountSupportID3	Не сообщайте никому этот ID
ShowAccountSupportID2	Не нажимайте во время трансляции
ShowAccountSupportID1	Я точно хочу увидеть этот ID
SupportIDLabel	ID: {0}
YouAreNotOnline	Нет подключения к сети.
NoDeadBodiesFound	Трупы не найдены
SupportEmail	Напишите нам по адресу support@innersloth.com, если вы хотите связаться со службой поддержки.
PerfectLabel	ИДЕАЛЬНО
