KEY ID	Irish
QCAccAKilledB_QCCrewNoOne_QCCrewNoOne	Níor mharaigh duine ar bith éinne
QCAccAKilledBNeg_QCCrewMe_ANY	Níor mharaigh mé {1}
QCAccAKilledBNeg_QCCrewMe_QCCrewNoOne	Níor mharaigh mé éinne
QCAccAKilledBNeg_QCCrewMe_QCCrewMe	Níor chuir mé lámh i mo bhás féin
QCAccAKilledBNeg_ANY_QCCrewMe	Níor mharaigh {0} mé
QCAccAKilledBNeg	Níor mharaigh {0} {1}
QCAccAKilledBNeg_ANY_QCCrewNoOne	Níor mharaigh {0} éinne
QCAccAKilledBNeg_QCCrewNoOne_QCCrewMe	
QCAccAKilledBNeg_QCCrewNoOne_ANY	
QCAccAKilledBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsSuspicious_QCCrewMe	Tá mé faoi amhras
QCAccAIsSuspicious	Tá {0} faoi amhras
QCAccAIsSuspicious_QCCrewNoOne	Níl aon duine faoi amhras
QCAccAIsSuspiciousNeg_QCCrewMe	Tá mé gan amhras
QCAccAIsSuspiciousNeg	Tá {0} gan amhras
QCAccAIsSuspiciousNeg_QCCrewNoOne	Tá chuile dhuine faoi amhras
QCAccASawBVent_QCCrewMe_ANY	Chonaic mé {1} ag dul i bhfolach sna gaothairí
QCAccASawBVent_QCCrewMe_QCCrewNoOne	Chonaic mé duine ar bith ag dul i bhfolach sna gaothairí
QCAccASawBVent_QCCrewMe_QCCrewMe	
QCAccASawBVent_ANY_QCCrewMe	Chonaic {0} mé ag dul i bhfolach sna gaothairí
QCAccASawBVent	Chonaic {0} {1} ag dul i bhfolach sna gaothairí
QCAccASawBVent_ANY_QCCrewNoOne	Chonaic {0} duine ar bith ag dul i bhfolach sna gaothairí
QCAccASawBVent_QCCrewNoOne_QCCrewMe	Ní fhaca éinne mé ag dul i bhfolach sna gaothairí
QCAccASawBVent_QCCrewNoOne_ANY	Ní fhaca éinne {1} ag dul i bhfolach sna gaothairí
QCAccASawBVent_QCCrewNoOne_QCCrewNoOne	Ní fhaca éinne duine ar bith ag dul i bhfolach sna gaothairí
QCAccASawBVentNeg_QCCrewMe_ANY	Ní fhaca mé riamh {1} ag dul i bhfolach sna gaothairí
QCAccASawBVentNeg_QCCrewMe_QCCrewNoOne	Ní fhaca mé riamh éinne ag dul i bhfolach sna gaothairí
QCAccASawBVentNeg_QCCrewMe_QCCrewMe	
QCAccASawBVentNeg_ANY_QCCrewMe	Ní fhaca {0} riamh mé ag dul i bhfolach sna gaothairí
QCAccASawBVentNeg	Ní fhaca {0} riamh {1} ag dul i bhfolach sna gaothairí
QCAccASawBVentNeg_ANY_QCCrewNoOne	Ní fhaca {0} riamh éinne ag dul i bhfolach sna gaothairí
QCAccASawBVentNeg_QCCrewNoOne_QCCrewMe	Ní fhaca éinne riamh mé ag dul i bhfolach sna gaothairí
QCAccASawBVentNeg_QCCrewNoOne_ANY	Ní fhaca éinne riamh {1} ag dul i bhfolach sna gaothairí
QCAccASawBVentNeg_QCCrewNoOne_QCCrewNoOne	Ní fhaca éinne riamh duine ar bith ag dul i bhfolach sna gaothairí
QCAccAWasChasingB_QCCrewMe_ANY	Bhí mé ar thóir {1}
QCAccAWasChasingB_QCCrewMe_QCCrewNoOne	Ní raibh mé ar thóir éinne
QCAccAWasChasingB_QCCrewMe_QCCrewMe	
QCAccAWasChasingB_ANY_QCCrewMe	Bhí {0} ar mo thóir
QCAccAWasChasingB	Bhí {0} ar thóir {1}
QCAccAWasChasingB_ANY_QCCrewNoOne	Ní raibh {0} ar thóir éinne
QCAccAWasChasingB_QCCrewNoOne_QCCrewMe	Ní raibh duine ar bith ar mo thóir
QCAccAWasChasingB_QCCrewNoOne_ANY	Ní raibh duine ar bith ar thóir {1)
QCAccAWasChasingB_QCCrewNoOne_QCCrewNoOne	Ní raibh duine ar bith ar thóir éinne
QCAccAWasChasingBNeg_QCCrewMe_ANY	Ní raibh mé ar thóir {1}
QCAccAWasChasingBNeg_QCCrewMe_QCCrewNoOne	Ní raibh mé ar thóir éinne
QCAccAWasChasingBNeg_QCCrewMe_QCCrewMe	
QCAccAWasChasingBNeg_ANY_QCCrewMe	Ní raibh {0} ar mo thóir
QCAccAWasChasingBNeg	Ní raibh {0} ar thóir {1}
QCAccAWasChasingBNeg_ANY_QCCrewNoOne	Ní raibh {0} ar thóir éinne
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewMe	
QCAccAWasChasingBNeg_QCCrewNoOne_ANY	
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsLying_QCCrewMe	Tá mé ag insint bréaga
QCAccAIsLying	Tá {0} ag insint bréaga
QCAccAIsLying_QCCrewNoOne	Níl éinne ag insint bréaga
QCAccAIsLyingNeg_QCCrewMe	Tá mé ag insint na fírinne
QCAccAIsLyingNeg	Tá {0} ag insint na fírinne
QCAccAIsLyingNeg_QCCrewNoOne	Níl éinne ag insint na fírinne
QCAccVoteA_QCCrewMe	vótáil dom
QCAccVoteA	vótáil do {0}
QCAccVoteA_QCCrewNoOne	ná vótáil do dhuine ar bith
QCAccVoteANeg_QCCrewMe	ná vótáil dom
QCAccVoteANeg	ná vótáil do {0}
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	Níor thuairiscigh mé an corp
QCAccADidntReport	Níor thuairiscigh {0} an corp
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	Bhí mé
QCResAWas	Bhí {0}
QCResAWas_QCCrewNoOne	Ní raibh éinne
QCResAWasNeg_QCCrewMe	Ní raibh mé
QCResAWasNeg	Ní raibh {0}
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	Rinne mé
QCResADid	Rinne {0}
QCResADid_QCCrewNoOne	Ní dhearna duine
QCResADidNeg_QCCrewMe	Ní dhearna mé
QCResADidNeg	Ní dhearna {0}
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	Bhí mé sa {1}
QCResAWasAtB	Bhí {0} sa {1}
QCResAWasAtB_QCCrewNoOne_ANY	Ní raibh duine sa {1}
QCResAWasAtBNeg_QCCrewMe_ANY	Ní raibh mé sa {1}
QCResAWasAtBNeg	Ní raibh {0} sa {1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	cé a bhí liom?
QCQstWhoWasWith	cé a bhí le {0}?
QCQstWhoWasWith_QCCrewNoOne	cé a bhí ina n-aonar?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	céard a bhí ar bun ag {0}?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	cá raibh {0}?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	Chonaic mé {1}
QCStaASawB_QCCrewMe_QCCrewNoOne	Ní fhaca mé éinne
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	Chonaic {0} mé
QCStaASawB	Chonaic {0} {1}
QCStaASawB_ANY_QCCrewNoOne	Ní fhaca {0} éinne
QCStaASawB_QCCrewNoOne_QCCrewMe	Ní fhaca éinne mé
QCStaASawB_QCCrewNoOne_ANY	Ní fhaca éinne {1}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	Ní fhaca éinne duine ar bith
QCStaAWasWithB_QCCrewMe_ANY	Bhí mé le {1}
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	Ní raibh mé le héinne
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	Bhí {0} liom
QCStaAWasWithB	Bhí {0} le {1}
QCStaAWasWithB_ANY_QCCrewNoOne	Ní raibh {0} le héinne
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	Ní raibh éinne liom
QCStaAWasWithB_QCCrewNoOne_ANY	Ní raibh éinne le {1}
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	Ní raibh éinne le duine ar bith
QCStaADidB_QCCrewMe_ANY	Rinne mé an tasc "{1}"
QCStaADidB	Rinne {0} an tasc "{1}"
QCStaADidB_QCCrewNoOne_ANY	Ní dhearna éinne an tasc "{1}"
QCStaASelfReported_QCCrewMe	Thuairiscigh mé mé féin
QCStaASelfReported	Thuairiscigh {0} iad féin
QCStaASelfReported_QCCrewNoOne	Níor thuairiscigh éinne iad féin
QCStaACalledMeeting_QCCrewMe	Chuir mé cruinniú ar bun
QCStaACalledMeeting	Chuir {0} cruinniú ar bun
QCStaACalledMeeting_QCCrewNoOne	Níor chuir éinne cruinniú ar bun
QCMore	NÍOS MÓ
SecurityLogsSystem	Logaí Slándála
SecurityCamsSystem	Ceamaraí Slándála
AdminMapSystem	Léarscáil an Riaracháin
VitalsSystem	Comharthaí Beatha
EngagementScreenSignIn	Ag síneáil isteach...
SaveGameOutOfSpaceConfirm	Ar aghaidh
EngagementScreen	Brúigh aon chnaipe chun tosú
SaveGameOutOfSpaceMessage	Ar mhaith leat leanúint ort gan sábháil?
SaveGameOutOfSpaceConfirm	Ar aghaidh
SaveGameOutOfSpaceCancel	Atriail
Success	D'éirigh leis!
Failed	Theip air!
ErrorCreate	Tharla rud éigin as bealach agus an cuntas á chruthú. Bain triail as arís níos déanaí.
SuccessCreate	D'éirigh leat cuntas a chruthú!
Close	Dún
ErrorLogIn	Tharla rud éigin as bealach agus tú ag síneáil isteach i do chuntas. Bain triail as arís níos déanaí.
SuccessLogIn	D'éirigh leat síneáil isteach i do chuntas!
AccountInfo	FAISNÉIS CHUNTAIS
Account	CUNTAS
UserName	Ainm Úsáideora
Height	Airde
Weight	Meáchan
SignIn	Sínigh Isteach
CreateAccount	Cruthaigh Cuntas
RequestPermission	Iarr ar Chead
RandomizeName	Randamaigh Ainm
AccountLinking	Nascadh Cuntais
ChangeName	Athraigh Ainm
LogOut	Logáil Amach
GuardianWait	Caithfidh tú fanacht le do chaomhnóir cead a thabhairt duit le húsáid a bhaint as an saorchomhrá agus le d'ainm úsáideora a athrú.
EmailEdit	Cuir ríomhphost in eagar
EmailResend	Athsheol ríomhphost
GuestContinue	Lean ort mar Chuairteoir
GuardianEmailSent	Ríomhphost caomhnóra seolta
GuardianCheckEmail	Ná déan dearmad iarraidh ar do chaomhnóir a ríomhphost a sheiceáil le gnéithe an chluiche uilig a gnothú
EditName	Cuir ainm in eagar
Name	Ainm
CreateAccountQuestion	Cruthaigh cuntas?
DoYouWantCreate	An bhfuil fonn ort cuntas a chruthú?
PermissionRequired	Cead de dhíth
NeedPermissionText	Beidh orainn cead a iarradh ar do chaomhnóir (trí ríomhphost) sula leanóidh tú ort. Má thugann siad cead, beidh tú in ann úsáid a bhaint as saorchomhrá agus d'ainm úsáideora a athrú. Iarr ar dhuine fásta chun cabhrú leat!
GuardianEmailTitle	Ríomhphost caomhnóra
Send	Seol
NewEmail	Ríomhphost nua
ConfirmEmail	Deimhnigh ríomhphost
EditEmail	Cuir ríomhphost in eagar
Loading	Á lódáil
Welcome	FÁILTE
GuardianEmail	[r-phost do chaomhnóra]
	
BanButton	Coisc
KickButton	Díbir
ReportButton	Tuairisc
ReportConfirmation	D'éirigh leat an t-úsáideoir a leanas a thuairisciú.
ReportBadName	Ainm Úsáideora Neamhoiriúnach
ReportBadChat	Teachtaireacht Neamhoiriúnach
ReportHacking	Hacáil/Caimiléireacht
ReportHarassment	Ciapadh/Mí-iompar
ReportWhy	Cén fáth a bhfuil tú ag tuairisciú an úsáideora seo?
DLLNotFoundAccountError	Tharla rud éigin as bealach agus tú ag ceangal le seirbhísí ar líne. Go dtí go mbeidh caoi air, ní féidir leat ach dul sa mhód Áitiúil nó Saorimeartha. Bain triail as níos déanaí.
ContinueOffline	Imir as líne
WantToLogIn	Níl tú logáilte isteach i gcuntas ar bith
GoOffline	Téigh as líne
PlayAsGuest	Imir mar Chuairteoir
LogInTitle	Sínigh Isteach i do Chuntas
LogInInfoText	- Ligeann cuntas cuairteora duit imirt ar líne gan chuntas a nascadh, ach ní féidir é a aisghabháil má athraíonn tú gléas nó má dhíshuiteálann tú Among Us.\n- Má shíneálann tú isteach i gcuntas ceart, is féidir leat síneáil isteach níos déanaí. Mura bhfuil cuntas agat, déanfar ceann go huathoibríoch duit.
LogInInfoTextSwitch	Má shíneálann tú isteach i gcuntas ceart, is féidir leat síneáil isteach níos déanaí. Mura bhfuil cuntas agat, déanfar ceann go huathoibríoch duit.
ControllerDisconnectedMessage	Dícheanglaíodh an Rialtán
FollowUs	Lean muid!
	
QuickChatInstructionsStart	Tá do chuid socruithe chomhrá ionchluiche socraithe ar Mhearchomhrá Amháin.
QuickChatInstructionsChild	Ní mór duit cead iarradh ar do thuiste nó caomhnóir le Lánchomhrá a rochtain.
QuickChatInstructionsGuest	Sínigh isteach chun é seo a athrú
QuickChatInstructionsFull	Féadfaidh tú é seo a athrú sa roghchlár Socruithe
	
SwitchEShopBrowseAll	Brabhsáil na hearraí uile ar Nintendo eShop
	
Download	Íoslódáil
Upload	Uaslódáil
pk05_davehat	Hata Dave
pk05_Ellie	Ellie
pk05_Svenhat	Hata Sven
pk05_Burthat	Hata Burt
pk05_Ellryhat	Mohawk Ellry
pk05_monocles	Leathspéacla Dúbáilte
pk05_cheesetoppat	Hata Ard Cáise
pk05_Macbethhat	Hata Ard an Uasail Mhic Bheatha
pk05_HenryToppat	Hata Ard Anraoi
pk05_EllieToppat	Hata Ard Ellie
pk05_GeoffreyToppat	Hata Ard Geoffrey
	
	
InsufficientStorageError	Ní raibh do dhóthain stórais agat leis an bpaca acmhainne a íoslódáil. Cuir spás stóráis ar fáil ar do ghléas agus bain triail as arís le do thoil.
NetworkError	Earráid líonra. Déan seic ar do shocruithe líonraí agus bain triail as arís
OtherDownloadError	Earráid: {0}
DownloadingLabel	Ag íoslódáil {0}
DownloadSizeLabel	Méid an íoslódála: {0}MB
	
TimeRemaining	Am fágtha: {0}
DeadLabel	MARBH
	
InviteFriends	Tabhair cuireadh do chairde
	
NutriLabel	BEATHAÍ
CO2Label	CO₂
RADLabel	RAD
WaterLabel	UISCE
	
DoorlogLabel	LOGA DORAIS
VitalsLabel	BEOCHT
OptionsLabel	SAINCHEAP
ProceedLabel	LEAN ORT
StartLabel	TOSAIGH
UseLabel	ÚSÁID
PlayAgain	IMIR ARÍS
QuitLabel	SCOIR
ReportLabel	TUAIRISCIGH
SabotageLabel	SABAITÉIREACHT
VentLabel	TÉIGH SA GHAOTHAIRE
KillLabel	MARAIGH
DiscussLabel	PLÉIGÍ!
SkippedVoting	VÓTA LÉIMTHE
SkipVoteLabel	LÉIM AN VÓTA
EmergencyMeeting	CRUINNIÚ ÉIGEANDÁLA
BodyReported	CORP MARBH TUAIRISCITHE
SkinLabel	CULTACHA
HatLabel	HATAÍ
PetLabel	PEATAÍ
AnnouncementLabel	FÓGRAÍ
	
UploadingLabel	Á UASLÓDÁIL
ConnectionLabel	Ceangal:
NoneLabel	TADA
PoorLabel	BOCHT
GoodLabel	GO MAITH
LogLabel	LOGA
ReadingLabel	Á LÉAMH
WeatherDataDownload	ÍOSLÓDÁIL SONRAÍ AIMSIRE
AirshipBundle	Beart Airship
PolusBundle	Beart Polus
PolusSkinBundle	Beart Chulaith Polus
MiraBundle	Beart MIRA HQ
MiraSkinBundle	Beart Chulaith MIRA HQ
PetAlien2	Beart Pheata Seadáin Leapa
PetAlien1	Beart Pheata Smugairle Cinn
PetAnimal	Beart Pheata Hamstair
PetCrewmate	Beart Leathbhádóirín
PetStickmin	Beart Pheata Stickmin
PrisonerSkin	Príosúnach
Cyborg_RHM	Cyborg RHM
CCC_Officer	CCC
BeginLabel	TOSAIGH
QuietLabel	FUISTTTTTT!
VentCleaning	Glan an Gaothaire
CleanUp	Glan Suas
ProgressLabel	Dul chun cinn:
TermsOfUseTitle	Coinníollacha Úsáide
PPAndToUTitle	Polasaí Príobháideachais agus Coinníollacha Úsáide
	
ErrorNotAuthenticated	Ní féidir le freastalaithe Among Us thu a dheimhniú.\r\n\nNí mór duit cuntas Among Us a fháil chun imirt ar líne. (Tá cuntas cuairteora ceart go leor!)
ComePlayDiscord	Gabh i leith uait agus imir Among us liom!
ShowAccountSupportID5	Taispeáin Aitheantas Thacaíocht Chuntais
ShowAccountSupportID4	Brúigh 4 huair eile le taispeáint
ShowAccountSupportID3	Ná scaip an t-aitheantas seo (3)
ShowAccountSupportID2	Ná brúigh agus tú ag sruthú (2)
ShowAccountSupportID1	Taispeáin dom an t-aitheantas seo go deimhin (1)
SupportIDLabel	Aitheantas Tacaíochta: {0}
YouAreNotOnline	Níl tú ar líne.
NoDeadBodiesFound	Níor aimsíodh aon chorp marbh
SupportEmail	Déan teagmháil le support@innersloth.com i gcás aon fhiosrúcháin tacaíochta.
PerfectLabel	FOIRFE
