KEY ID	Spanish (LA)
QCResAWasAtB_QCCrewNoOne_ANY	Nadie estaba en {1}
QCResAWasAtBNeg_QCCrewMe_ANY	Yo no estaba en {1}
QCResAWasAtBNeg	{0} no estaba en {1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	¿Quién estaba conmigo?
QCQstWhoWasWith	¿Quién estaba con {0}?
QCQstWhoWasWith_QCCrewNoOne	¿Quién estaba a solas?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	¿Qué hacía {0}?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	¿Dónde estaba {0}?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	Vi a {1}
QCStaASawB_QCCrewMe_QCCrewNoOne	No vi a nadie
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0} me vio
QCStaASawB	{0} vio a {1}
QCStaASawB_ANY_QCCrewNoOne	{0} no vio a nadie
QCStaASawB_QCCrewNoOne_QCCrewMe	Nadie me vio
QCStaASawB_QCCrewNoOne_ANY	Nadie vio a {1}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	Nadie vio a nadie
QCStaAWasWithB_QCCrewMe_ANY	Yo estaba con {1}
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	Yo no estaba con nadie
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0} estaba conmigo
QCStaAWasWithB	{0} estaba con {1}
QCStaAWasWithB_ANY_QCCrewNoOne	{0} no estaba con nadie
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	Nadie estaba conmigo
QCStaAWasWithB_QCCrewNoOne_ANY	Nadie estaba con {1}
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	Nadie estaba con nadie
QCStaADidB_QCCrewMe_ANY	Hice {1}
QCStaADidB	{0} hizo {1}
QCStaADidB_QCCrewNoOne_ANY	Nadie hizo {1}
QCStaASelfReported_QCCrewMe	Comuniqué mi muerte
QCStaASelfReported	{0} reportó su muerte
QCStaASelfReported_QCCrewNoOne	Nadie reportó su propio crimen
QCStaACalledMeeting_QCCrewMe	Convoqué una reunión
QCStaACalledMeeting	{0} convocó una reunión
QCStaACalledMeeting_QCCrewNoOne	Nadie convocó una reunión
QCMore	MÁS
SecurityLogsSystem	Registros de seguridad
SecurityCamsSystem	Cámaras de seguridad
AdminMapSystem	Mapa de gestión
VitalsSystem	Monitor vital
EngagementScreenSignIn	Iniciando sesión...
SaveGameOutOfSpaceConfirm	Continuar
EngagementScreen	Pulsa un botón para comenzar.
SaveGameOutOfSpaceMessage	¿Quieres seguir sin guardar?
SaveGameOutOfSpaceConfirm	Continuar
SaveGameOutOfSpaceCancel	Reintentar
Success	Listo
Failed	Fallo
ErrorCreate	Hubo un problema durante la creación de la cuenta. Reinténtalo más tarde.
SuccessCreate	Creaste una cuenta.
Close	Cerrar
ErrorLogIn	Hubo un problema de inicio de sesión. Reinténtalo más tarde.
SuccessLogIn	Iniciaste sesión en la cuenta.
AccountInfo	DATOS DE CUENTA
Account	CUENTA
UserName	USUARIO
Height	Altura
Weight	Peso
SignIn	Iniciar sesión
CreateAccount	Crear cuenta
RequestPermission	Pedir permiso
RandomizeName	Nombre aleatorio
AccountLinking	Vínculo de cuenta
ChangeName	Cambiar nombre
LogOut	Cerrar sesión
GuardianWait	Debes esperar el permiso del adulto a cargo para usar el chat libre y cambiar el nombre de usuario.
EmailEdit	Editar correo
EmailResend	Reenviar correo
GuestContinue	Continuar como invitado
GuardianEmailSent	Correo enviado
GuardianCheckEmail	Pídele al adulto a cargo que revise su correo electrónico para desbloquear las funciones del juego.
EditName	Editar nombre
Name	Nombre
CreateAccountQuestion	¿Crear cuenta?
DoYouWantCreate	¿Quieres crear una cuenta?
PermissionRequired	Permiso requerido
NeedPermissionText	Necesitamos pedir permiso por correo electrónico al adulto responsable. Si acepta, podrás usar el chat libre y cambiar el nombre de usuario. Dile que te ayude con esto.
GuardianEmailTitle	Correo del adulto
Send	Enviar
NewEmail	Correo nuevo
ConfirmEmail	Confirmar correo electrónico
EditEmail	Editar correo electrónico
Loading	Cargando
Welcome	HOLA
GuardianEmail	[el correo electrónico de tu tutor]
	
BanButton	VETAR
KickButton	EXPULSAR
ReportButton	INFORMAR
ReportConfirmation	Reportaste al siguiente usuario correctamente.
ReportBadName	Nombre inapropiado
ReportBadChat	Contenido inapropiado en el chat
ReportHacking	Hackeo/Trampas
ReportHarassment	Acoso/Mal comportamiento
ReportWhy	¿Por qué reportas a este usuario?
DLLNotFoundAccountError	Ocurrió un error al conectarte a los servicios online. Hasta que esto se solucione, solo podrás jugar en los modos local o libre. Vuelve a intentarlo más tarde.
ContinueOffline	Jugar sin conexión
WantToLogIn	No iniciaste sesión en ninguna cuenta.
GoOffline	Seguir sin conexión
PlayAsGuest	Jugar como invitado
LogInTitle	Iniciar sesión en tu cuenta
LogInInfoText	- Una cuenta de invitado permite jugar en línea sin vincular ninguna cuenta, pero no se puede recuperar si cambias de dispositivo o desinstalas Among Us.\n- Si inicias sesión en una cuenta convencional, puedes repetir el proceso después. Si no tienes cuenta, se creará una de forma automática.
LogInInfoTextSwitch	Si inicias sesión en una cuenta convencional, puedes repetir el proceso después. Si no tienes cuenta, se creará una de forma automática.
ControllerDisconnectedMessage	Control desconectado
FollowUs	¡Síguenos!
	
QuickChatInstructionsStart	Tu configuración de chat en el juego está establecida en solo chat rápido.
QuickChatInstructionsChild	Tienes que pedir permiso a tus padres o tutores para acceder al chat completo.
QuickChatInstructionsGuest	Debes tener sesión iniciada para cambiar esto.
QuickChatInstructionsFull	Puedes cambiarlo en el menú de configuración.
	
SwitchEShopBrowseAll	Navega por todos los artículos de la eShop de Nintendo
	
Download	Descarga
Upload	Carga
pk05_davehat	Sombrero de Dave
pk05_Ellie	Ellie
pk05_Svenhat	Sombrero de Sven
pk05_Burthat	Sombrero de Burt
pk05_Ellryhat	Mohawk de Ellry
pk05_monocles	Monóculos dobles
pk05_cheesetoppat	Sombrero de copa de queso
pk05_Macbethhat	Sombrero de copa del Sr. Macbeth
pk05_HenryToppat	Sombrero de copa de Henry
pk05_EllieToppat	Sombrero de copa de Ellie
pk05_GeoffreyToppat	Sombrero de copa de Geoffrey
	
	
InsufficientStorageError	No hay suficiente espacio de almacenamiento para descargar el paquete de objetos. Haz espacio en tu dispositivo e inténtalo de nuevo.
NetworkError	Ocurrió un error de red. Revisa los ajustes de red e inténtalo de nuevo.
OtherDownloadError	Ocurrió un error: {0}
DownloadingLabel	Descargando {0}
DownloadSizeLabel	Tamaño de descarga: {0} MB
	
TimeRemaining	Tiempo restante: {0}
DeadLabel	MURIÓ
	
InviteFriends	Invitar amigos
	
NutriLabel	NUTRI
CO2Label	CO2
RADLabel	RAD
WaterLabel	AGUA
	
DoorlogLabel	REGISTRO
VitalsLabel	ESTADO
OptionsLabel	PERSONALIZAR
ProceedLabel	CONTINUAR
StartLabel	INICIAR
UseLabel	USAR
PlayAgain	JUGAR DE NUEVO
QuitLabel	SALIR
ReportLabel	INFORMAR
SabotageLabel	SABOTAJE
VentLabel	DUCTO
KillLabel	MATAR
DiscussLabel	¡HABLEN!
SkippedVoting	VOTACIÓN OMITIDA
SkipVoteLabel	OMITIR VOTO
EmergencyMeeting	REUNIÓN URGENTE
BodyReported	CADÁVER ENCONTRADO
SkinLabel	ASPECTOS
HatLabel	GORROS
PetLabel	MASCOTAS
AnnouncementLabel	ANUNCIOS
	
UploadingLabel	CARGANDO
ConnectionLabel	Conexión:
NoneLabel	NO HAY
PoorLabel	MALA
GoodLabel	BUENA
LogLabel	REGISTRO
ReadingLabel	MEDICIÓN
WeatherDataDownload	DESCARGA DE DATOS CLIMÁTICOS
AirshipBundle	Paquete de Airship
PolusBundle	Paquete de Polus
PolusSkinBundle	Paquete de disfraces del mapa Polus
MiraBundle	Paquete del cuartel de MIRA
MiraSkinBundle	Paquete de disfraces del cuartel de MIRA
PetAlien2	Paquete de mascotas Cangrujo
PetAlien1	Paquete de mascotas Babosa cerebral
PetAnimal	Paquete de mascotas Hámster
PetCrewmate	Paquete Minitripulante
PetStickmin	Paquete de mascotas Stickmin
PrisonerSkin	Prisionero
Cyborg_RHM	Mano Derecha Renacido
CCC_Officer	Director del Centro de Contención del Caos
BeginLabel	INICIAR
QuietLabel	¡SILENCIO!
VentCleaning	Ducto limpio
CleanUp	Limpiar
ProgressLabel	Progreso:
TermsOfUseTitle	Términos de uso
PPAndToUTitle	Política de privacidad y Términos de uso
	
ErrorNotAuthenticated	No pudimos autentificarte en los servidores de Among Us.\r\n\nDebes tener una cuenta de Among Us para jugar en línea. (¡También puedes usar una cuenta de invitado!)
ComePlayDiscord	¡Ven a jugar Among Us conmigo! 
ShowAccountSupportID5	Mostrar ID de soporte de cuenta
ShowAccountSupportID4	Presiona 4 veces más para mostrar
ShowAccountSupportID3	No compartas este ID
ShowAccountSupportID2	No hagas clic durante una transmisión
ShowAccountSupportID1	Quiero ver este ID
SupportIDLabel	ID de soporte: {0}
YouAreNotOnline	No estás conectado.
NoDeadBodiesFound	No se encontraron cadáveres
SupportEmail	Contacta a support@innersloth.com para cualquier consulta de soporte.
PerfectLabel	PERFECTA
