KEY ID	Brazilian Portuguese
QCAccVoteANeg_QCCrewMe	Não votem em mim
QCAccVoteANeg	Não votem em {0}
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	Eu não reportei o corpo
QCAccADidntReport	{0} não reportou o corpo
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	Eu estava
QCResAWas	{0} estava
QCResAWas_QCCrewNoOne	Ninguém estava
QCResAWasNeg_QCCrewMe	Eu não estava
QCResAWasNeg	{0} não estava
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	Eu fiz isso
QCResADid	{0} fez isso
QCResADid_QCCrewNoOne	Ninguém fez isso
QCResADidNeg_QCCrewMe	Eu não fiz isso
QCResADidNeg	{0} não fez isso
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	Eu estava em {1}
QCResAWasAtB	{0} estava em {1}
QCResAWasAtB_QCCrewNoOne_ANY	Ninguém estava em {1}
QCResAWasAtBNeg_QCCrewMe_ANY	Eu não estava em {1}
QCResAWasAtBNeg	{0} não estava em {1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	Quem estava comigo?
QCQstWhoWasWith	Quem estava com {0}?
QCQstWhoWasWith_QCCrewNoOne	Quem estava sozinho(a)?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	O que {0} fazia?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	Onde {0} estava?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	Eu vi {1}
QCStaASawB_QCCrewMe_QCCrewNoOne	Eu não vi ninguém
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0} me viu
QCStaASawB	{0} viu {1}
QCStaASawB_ANY_QCCrewNoOne	{0} não viu ninguém
QCStaASawB_QCCrewNoOne_QCCrewMe	Ninguém me viu
QCStaASawB_QCCrewNoOne_ANY	Ninguém viu {1}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	Ninguém viu ninguém
QCStaAWasWithB_QCCrewMe_ANY	Eu estava com {1}
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	Eu estava sozinho(a)
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0} estava comigo
QCStaAWasWithB	{0} estava com {1}
QCStaAWasWithB_ANY_QCCrewNoOne	{0} estava sozinho(a)
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	Não tinha ninguém comigo
QCStaAWasWithB_QCCrewNoOne_ANY	Não tinha ninguém com {1}
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	Não tinha ninguém com ninguém
QCStaADidB_QCCrewMe_ANY	Eu fiz: {1}
QCStaADidB	{0} fez: {1}
QCStaADidB_QCCrewNoOne_ANY	Ninguém fez: {1}
QCStaASelfReported_QCCrewMe	Eu passei recibo
QCStaASelfReported	{0} passou recibo
QCStaASelfReported_QCCrewNoOne	Ninguém passou recibo
QCStaACalledMeeting_QCCrewMe	Eu convoquei a reunião
QCStaACalledMeeting	{0} convocou a reunião
QCStaACalledMeeting_QCCrewNoOne	Ninguém convocou a reunião
QCMore	MAIS
SecurityLogsSystem	Registros de Segurança
SecurityCamsSystem	Câmeras de Segurança
AdminMapSystem	Mapa de Admin
VitalsSystem	Monitor de Sinais Vitais
EngagementScreenSignIn	Entrando...
SaveGameOutOfSpaceConfirm	Continuar
EngagementScreen	Aperte qualquer botão para iniciar.
SaveGameOutOfSpaceMessage	Quer continuar sem salvar?
SaveGameOutOfSpaceConfirm	Continuar
SaveGameOutOfSpaceCancel	Tentar de novo
Success	Sucesso!
Failed	Erro!
ErrorCreate	Alguma coisa deu errado na criação da sua conta. Tente novamente mais tarde.
SuccessCreate	Sua conta está criada!
Close	Fechar
ErrorLogIn	Alguma coisa deu errado no acesso à sua conta. Tente novamente mais tarde.
SuccessLogIn	Você entrou na sua conta!
AccountInfo	INFORMAÇÕES DA CONTA
Account	CONTA
UserName	NOME DE USUÁRIO
Height	Altura
Weight	Peso
SignIn	Entrar
CreateAccount	Criar Conta
RequestPermission	Solicitar Permissão
RandomizeName	Gerar Nome
AccountLinking	Vinculação de Conta
ChangeName	Alterar Nome
LogOut	Sair
GuardianWait	Aguarde a permissão do(a) seu(ua) Tutor(a) para usar o Bate-papo Livre e alterar seu nome de usuário.
EmailEdit	Editar E-mail
EmailResend	Reenviar E-mail
GuestContinue	Entrar como Convidado
GuardianEmailSent	E-mail para Tutor(a) enviado
GuardianCheckEmail	Não deixe de lembrar seu(ua) Tutor(a) de conferir o e-mail para desbloquear todas as funcionalidades do jogo
EditName	Editar Nome
Name	Nome
CreateAccountQuestion	Criar Conta?
DoYouWantCreate	Você quer criar uma conta?
PermissionRequired	Permissão Necessária
NeedPermissionText	Teremos que pedir permissão ao(à) seu(ua) tutor(a) via e-mail para continuar. Se ele(a) disser que sim, você poderá usar o bate-papo livre online e alterar seu nome de usuário. Peça a um adulto para te ajudar!
GuardianEmailTitle	E-mail do(a) Tutor(a)
Send	Enviar
NewEmail	Novo E-mail
ConfirmEmail	Confirmar E-mail
EditEmail	Editar E-mail
Loading	Carregando
Welcome	BOAS-VINDAS
GuardianEmail	[e-mail do seu tutor]
	
BanButton	BANIR
KickButton	EXPULSAR
ReportButton	NOTIFICAR
ReportConfirmation	Você abriu queixa contra o usuário.
ReportBadName	Nome inapropriado
ReportBadChat	Conversas inapropriadas
ReportHacking	Hack/Trapaça
ReportHarassment	Assédio/Comportamento impróprio
ReportWhy	Qual é o motivo da acusação?
DLLNotFoundAccountError	Por algum motivo, você não está conseguindo se conectar aos serviços online. Até que isso se resolva, você só poderá jogar nos modos Local e Partida Livre. Tente novamente mais tarde.
ContinueOffline	Jogar offline
WantToLogIn	Você não está conectado a uma conta
GoOffline	Ficar offline
PlayAsGuest	Jogar como Convidado
LogInTitle	Entrar na sua conta
LogInInfoText	– Contas Convidadas permitem que você jogue online sem se vincular a uma conta, mas não é possível recuperá-las em caso de troca de dispositivo ou de desinstalação do Among Us.\n– Criando uma conta, você pode acessá-la sempre que quiser. Caso você ainda não tenha uma conta, ela será criada automaticamente.
LogInInfoTextSwitch	Caso você ainda não tenha uma conta, ela será criada automaticamente.
ControllerDisconnectedMessage	Controle desconectado
FollowUs	Siga a gente!
	
QuickChatInstructionsStart	Seu bate-papo do jogo está configurado como "Só Bate-papo Rápido".
QuickChatInstructionsChild	Você terá que pedir permissão aos seus responsáveis para ganhar acesso ao Bate-papo Completo.
QuickChatInstructionsGuest	Entre na sua conta para realizar a alteração.
QuickChatInstructionsFull	É possível alterar isso no menu Configurações.
	
SwitchEShopBrowseAll	Confira os itens na Nintendo eShop
	
Download	Download
Upload	Upload
pk05_davehat	Boné do Dave
pk05_Ellie	Ellie
pk05_Svenhat	Chapéu do Sven
pk05_Burthat	Chapéu do Burt
pk05_Ellryhat	Moicano de Ellry
pk05_monocles	Monóculo Duplo
pk05_cheesetoppat	Chapéu de Queijo
pk05_Macbethhat	Cartola do Sr. Macbeth
pk05_HenryToppat	Cartola do Henry
pk05_EllieToppat	Cartola da Ellie
pk05_GeoffreyToppat	Cartola do Geoffrey
	
	
InsufficientStorageError	Espaço de armazenamento insuficiente para baixar o pacote de utilidades. Libere espaço no seu dispositivo e tente novamente.
NetworkError	Erro de rede. Verifique suas configurações de rede e tente novamente.
OtherDownloadError	Erro: {0}
DownloadingLabel	Baixando {0}
DownloadSizeLabel	Tamanho do download: {0} MB
	
TimeRemaining	Tempo restante: {0}
DeadLabel	MORTO
	
InviteFriends	Convidar Amigos
	
NutriLabel	NUTRI
CO2Label	CO2
RADLabel	RAD
WaterLabel	ÁGUA
	
DoorlogLabel	PORTARIA
VitalsLabel	VITAIS
OptionsLabel	PERSONALIZAR
ProceedLabel	CONTINUAR
StartLabel	INICIAR
UseLabel	USAR
PlayAgain	JOGAR NOVAMENTE
QuitLabel	SAIR
ReportLabel	NOTIFICAR
SabotageLabel	SABOTAR
VentLabel	DUTO
KillLabel	ABATIDO
DiscussLabel	DISCUSSÃO!
SkippedVoting	PULOU A VOTAÇÃO
SkipVoteLabel	PULAR VOTO
EmergencyMeeting	REUNIÃO DE EMERGÊNCIA
BodyReported	CORPO NOTIFICADO
SkinLabel	VISUAIS
HatLabel	CHAPÉUS
PetLabel	MASCOTES
AnnouncementLabel	ANÚNCIOS
	
UploadingLabel	ENVIANDO
ConnectionLabel	Conexão:
NoneLabel	NULA
PoorLabel	RUIM
GoodLabel	BOA
LogLabel	HISTÓRICO
ReadingLabel	TEMPERATURA
WeatherDataDownload	BAIXANDO DADOS CLIMÁTICOS
AirshipBundle	Pacote Airship
PolusBundle	Pacote Polus
PolusSkinBundle	Pacote de Visuais do Mapa Polus
MiraBundle	Pacote MIRA HQ
MiraSkinBundle	Pacote de Visuais de MIRA HQ
PetAlien2	Pacote de Mascote: Bedcrab
PetAlien1	Pacote de Mascote: Cérebro de Lesma
PetAnimal	Pacote de Mascote: Hamster
PetCrewmate	Pacote do Minitripulante
PetStickmin	Pacote de Mascotes: Stickmin
PrisonerSkin	Prisioneiro
Cyborg_RHM	Braço Direito Renascido
CCC_Officer	Chefe do Centro de Contenção do Caos
BeginLabel	INICIAR
QuietLabel	XIU!
VentCleaning	Limpar Duto
CleanUp	Limpar
ProgressLabel	Andamento:
TermsOfUseTitle	Termos de Uso
PPAndToUTitle	Política de Privacidade e Termos de Uso
	
ErrorNotAuthenticated	Não foi possível autenticar você nos servidores de Among Us.\r\n\nÉ necessário ter uma conta de Among Us para jogar online (pode ser uma Conta Convidada)!
ComePlayDiscord	Venha jogar Among Us comigo! 
ShowAccountSupportID5	Exibir ID de suporte da conta
ShowAccountSupportID4	Aperte mais quatro vezes para exibir
ShowAccountSupportID3	Não compartilhe essa ID
ShowAccountSupportID2	Não clique no meio da transmissão
ShowAccountSupportID1	Mostre a ID para mim sem falta
SupportIDLabel	ID de suporte: {0}
YouAreNotOnline	Você não está conectado.
NoDeadBodiesFound	Nenhum corpo encontrado
SupportEmail	Em caso de dúvida, entre em contato pelo e-mail support@innersloth.com.
PerfectLabel	PERFEITO
