KEY ID	European Portuguese
QCResAWasNeg_QCCrewMe	Eu não estava
QCResAWasNeg	{0} não estava
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	Eu fiz isso
QCResADid	{0} fez isso
QCResADid_QCCrewNoOne	Ninguém fez isso
QCResADidNeg_QCCrewMe	Eu não fiz isso
QCResADidNeg	{0} não fez isso
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	Estava no(a): {1}
QCResAWasAtB	{0} estava no(a): {1}
QCResAWasAtB_QCCrewNoOne_ANY	Ninguém estava no(a): {1}
QCResAWasAtBNeg_QCCrewMe_ANY	Não estava no(a): {1}
QCResAWasAtBNeg	{0} não estava no(a): {1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	Quem estava comigo?
QCQstWhoWasWith	{0} estava com quem?
QCQstWhoWasWith_QCCrewNoOne	Quem estava sozinho?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	{0} fazia o quê?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	{0} estava onde?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	Vi: {1}
QCStaASawB_QCCrewMe_QCCrewNoOne	Não vi ninguém
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0} viu-me
QCStaASawB	{0} viu {1}
QCStaASawB_ANY_QCCrewNoOne	{0} não viu ninguém
QCStaASawB_QCCrewNoOne_QCCrewMe	Ninguém me viu
QCStaASawB_QCCrewNoOne_ANY	Ninguém viu {1}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	Ninguém viu alguém
QCStaAWasWithB_QCCrewMe_ANY	Estava com {1}
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	Não estava com ninguém
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0} estava comigo
QCStaAWasWithB	{0} estava com {1}
QCStaAWasWithB_ANY_QCCrewNoOne	{0} não estava com ninguém
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	Ninguém estava comigo
QCStaAWasWithB_QCCrewNoOne_ANY	Ninguém estava com {1}
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	Ninguém estava com ninguém
QCStaADidB_QCCrewMe_ANY	Fiz: {1}
QCStaADidB	{0} fez: {1}
QCStaADidB_QCCrewNoOne_ANY	Ninguém fez: {1}
QCStaASelfReported_QCCrewMe	Denunciei-me
QCStaASelfReported	{0} denunciou-se
QCStaASelfReported_QCCrewNoOne	Ninguém se denunciou
QCStaACalledMeeting_QCCrewMe	Pedi uma reunião
QCStaACalledMeeting	{0} pediu uma reunião
QCStaACalledMeeting_QCCrewNoOne	Ninguém pediu uma reunião
QCMore	MAIS
SecurityLogsSystem	Registos de Segurança
SecurityCamsSystem	Câmaras de Segurança
AdminMapSystem	Mapa do Admin
VitalsSystem	Monitor dos Vitais
EngagementScreenSignIn	A iniciar sessão...
SaveGameOutOfSpaceConfirm	Continuar
EngagementScreen	Prime um botão para iniciar.
SaveGameOutOfSpaceMessage	Queres continuar sem guardar?
SaveGameOutOfSpaceConfirm	Continuar
SaveGameOutOfSpaceCancel	Repetir
Success	Sucesso!
Failed	Falhou!
ErrorCreate	Algo correu mal ao criar a tua conta. Tenta novamente mais tarde.
SuccessCreate	Criaste uma conta!
Close	Fechar
ErrorLogIn	Algo correu mal ao iniciar sessão na tua conta. Tenta novamente mais tarde.
SuccessLogIn	Iniciaste a sessão!
AccountInfo	INFORMAÇÕES DA CONTA
Account	CONTA
UserName	UTILIZADOR
Height	Altura
Weight	Peso
SignIn	Iniciar sessão
CreateAccount	Criar conta
RequestPermission	Pedir permissão
RandomizeName	Nome aleatório
AccountLinking	Vincular conta
ChangeName	Alterar nome
LogOut	Terminar sessão
GuardianWait	Tens de esperar que o teu Encarregado de Educação te dê permissão para usar o Chat Livre e alterar o nome de utilizador.
EmailEdit	Alterar e-mail
EmailResend	Reenviar e-mail
GuestContinue	Continuar como convidado
GuardianEmailSent	E-mail enviado ao Encarregado de Educação
GuardianCheckEmail	Não te esqueças de pedir ao teu Encarregado de Educação para verificar o e-mail e desbloquear todas as funcionalidades do jogo.
EditName	Editar nome
Name	Nome
CreateAccountQuestion	Criar conta?
DoYouWantCreate	Queres criar uma conta?
PermissionRequired	Permissão necessária
NeedPermissionText	Para continuar precisamos de pedir autorização (via e-mail) ao teu Encarregado de Educação. Caso concorde, poderás usar o chat livre online e alterar o nome de utilizador. Pede ajuda a um adulto!
GuardianEmailTitle	E-mail do Encarregado de Educação
Send	Enviar
NewEmail	Novo e-mail
ConfirmEmail	Confirmar e-mail
EditEmail	Alterar e-mail
Loading	A carregar
Welcome	BOAS-VINDAS
GuardianEmail	[e-mail do teu encarregado de educação]
	
BanButton	BANIR
KickButton	EXPULSAR
ReportButton	DENUNCIAR
ReportConfirmation	Denunciaste o seguinte utilizador.
ReportBadName	Nome inapropriado
ReportBadChat	Chat inapropriado
ReportHacking	Hacks/Batota
ReportHarassment	Assédio/Comportamento inadequado
ReportWhy	Porque estás a denunciar este utilizador?
DLLNotFoundAccountError	Não foi possível fazer a ligação aos serviços online. Até isto ser corrigido, apenas podes participar nos modos Local ou Ilimitada. Tenta de novo mais tarde.
ContinueOffline	Jogar Offline
WantToLogIn	De momento não tens a sessão iniciada.
GoOffline	Ficar Offline
PlayAsGuest	Jogar como convidado
LogInTitle	Iniciar sessão na tua conta
LogInInfoText	- Uma conta de convidado permite-te jogar online sem criar uma conta, mas não pode ser recuperada caso mudes de dispositivo ou desinstales o Among Us.\n- Se iniciares sessão numa conta, podes voltar a iniciar sessão mais tarde. Caso não tenhas uma conta, será criada uma automaticamente.
LogInInfoTextSwitch	Caso não tenhas uma conta, será criada uma automaticamente.
ControllerDisconnectedMessage	Comando desligado
FollowUs	Segue-nos!
	
QuickChatInstructionsStart	As definições de chat no jogo são de Apenas chat rápido.
QuickChatInstructionsChild	Precisas de pedir permissão aos teus pais ou encarregado de educação para aceder ao Chat Completo.
QuickChatInstructionsGuest	Tens de ter sessão iniciada para mudar isto.
QuickChatInstructionsFull	Podes alterar isto no menu Definições.
	
SwitchEShopBrowseAll	Ver todos os artigos na Nintendo eShop
	
Download	Transferir
Upload	Enviar
pk05_davehat	Chapéu do Dave
pk05_Ellie	Ellie
pk05_Svenhat	Chapéu do Sven
pk05_Burthat	Chapéu do Burt
pk05_Ellryhat	Moicano do Ellry
pk05_monocles	Monóculo duplo
pk05_cheesetoppat	Cartola de queijo
pk05_Macbethhat	Cartola do Sr. Macbeth
pk05_HenryToppat	Cartola do Henry
pk05_EllieToppat	Cartola da Ellie
pk05_GeoffreyToppat	Cartola do Geoffrey
	
	
InsufficientStorageError	Não tens espaço suficiente para transferir o pacote de conteúdo. Liberta espaço do dispositivo e tenta novamente.
NetworkError	Ocorreu um erro de ligação. Verifica as definições de ligação à Internet e tenta novamente.
OtherDownloadError	Ocorreu um erro: {0}
DownloadingLabel	A transferir {0}
DownloadSizeLabel	Tamanho de transferência: {0} MB
	
TimeRemaining	Tempo restante: {0}
DeadLabel	MORTOS
	
InviteFriends	Convidar amigos
	
NutriLabel	NUTRIÇÃO
CO2Label	CO2
RADLabel	RADIAÇÃO
WaterLabel	ÁGUA
	
DoorlogLabel	REGISTO
VitalsLabel	VITAIS
OptionsLabel	PERSONALIZAR
ProceedLabel	CONTINUAR
StartLabel	INICIAR
UseLabel	USAR
PlayAgain	JOGAR DE NOVO
QuitLabel	SAIR
ReportLabel	DENUNCIAR
SabotageLabel	SABOTAR
VentLabel	RESPIRO
KillLabel	MATAR
DiscussLabel	DISCUTIR!
SkippedVoting	IGNOROU VOTAÇÃO
SkipVoteLabel	IGNORAR VOTAÇÃO
EmergencyMeeting	REUNIÃO DE EMERGÊNCIA
BodyReported	CADÁVER DENUNCIADO
SkinLabel	VISUAIS
HatLabel	CHAPÉUS
PetLabel	MASCOTES
AnnouncementLabel	COMUNICADOS
	
UploadingLabel	A ENVIAR
ConnectionLabel	Ligação:
NoneLabel	NENHUMA
PoorLabel	FRACA
GoodLabel	BOA
LogLabel	RELAT.
ReadingLabel	LEITURA
WeatherDataDownload	TRANSFERIR DADOS CLIMÁTICOS
AirshipBundle	Conjunto Airship
PolusBundle	Conjunto Polus
PolusSkinBundle	Conjunto de Visuais Mapa Polus
MiraBundle	Conjunto MIRA HQ
MiraSkinBundle	Conjunto de Visuais MIRA HQ
PetAlien2	Conjunto de Mascotes Camanguejo
PetAlien1	Conjunto de Mascotes Lesmiolo
PetAnimal	Conjunto de Mascotes Hamster
PetCrewmate	Conjunto de Minitripulantes
PetStickmin	Conjunto de Mascotes Stickmin
PrisonerSkin	Prisioneiro
Cyborg_RHM	Ciborgue Dextro
CCC_Officer	Chefe do Centro de Contenção do Caos
BeginLabel	COMEÇAR
QuietLabel	CHIU!!!
VentCleaning	Limpar respiro
CleanUp	Limpar
ProgressLabel	Progresso:
TermsOfUseTitle	Termos de Utilização
PPAndToUTitle	Política de Privacidade e Termos de Utilização
	
ErrorNotAuthenticated	Os servidores do Among Us não conseguiram autenticar-te.\r\n\nPrecisas de uma conta Among Us para jogar online. (Também pode ser uma conta de convidado!)
ComePlayDiscord	Vem jogar Among Us comigo! 
ShowAccountSupportID5	Mostrar ID de Suporte da Conta
ShowAccountSupportID4	Prime 4 vezes mais para mostrar
ShowAccountSupportID3	Não partilhar esta ID
ShowAccountSupportID2	Não clicar durante o streaming
ShowAccountSupportID1	Mostrar esta ID
SupportIDLabel	ID de Suporte: {0}
YouAreNotOnline	Não estás online.
NoDeadBodiesFound	Nenhum cadáver encontrado
SupportEmail	Se precisares de ajuda, contacta-nos através do e-mail: support@innersloth.com
PerfectLabel	PERFEITO
