KEY ID	T.Chinese
QCStaAWasWithB_ANY_QCCrewMe	{0}和我在一起
QCStaAWasWithB	{0}和{1}在一起
QCStaAWasWithB_ANY_QCCrewNoOne	{0}沒有和任何人在一起
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	沒有任何人和我在一起
QCStaAWasWithB_QCCrewNoOne_ANY	沒有任何人和{1}在一起
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	沒有人和任何人在一起
QCStaADidB_QCCrewMe_ANY	我做了{1}
QCStaADidB	{0} 做了{1}
QCStaADidB_QCCrewNoOne_ANY	沒有人做了{1}
QCStaASelfReported_QCCrewMe	我自行舉報是兇手
QCStaASelfReported	{0}自行舉報是兇手
QCStaASelfReported_QCCrewNoOne	沒有人自行舉報是兇手
QCStaACalledMeeting_QCCrewMe	我召開了會議
QCStaACalledMeeting	{0}召開了會議
QCStaACalledMeeting_QCCrewNoOne	沒有人召開了會議
QCMore	更多
SecurityLogsSystem	保全日誌
SecurityCamsSystem	保全監視器
AdminMapSystem	管理室地圖
VitalsSystem	生命監測器
EngagementScreenSignIn	正在登入...
SaveGameOutOfSpaceConfirm	繼續
EngagementScreen	按下任意按鈕以開始。
SaveGameOutOfSpaceMessage	您是否想在不儲存的情況下繼續？
SaveGameOutOfSpaceConfirm	繼續
SaveGameOutOfSpaceCancel	重試
Success	成功！
Failed	失敗！
ErrorCreate	建立帳號時發生錯誤。請稍後再試。
SuccessCreate	您已成功建立帳號！
Close	關閉
ErrorLogIn	登入帳號時發生錯誤。請稍後再試。
SuccessLogIn	您已成功登入您的帳號！
AccountInfo	帳號資訊
Account	帳號
UserName	使用者名稱
Height	身高
Weight	體重
SignIn	登入
CreateAccount	建立帳號
RequestPermission	要求許可
RandomizeName	隨機命名
AccountLinking	帳號連結
ChangeName	變更名稱
LogOut	登出
GuardianWait	您必須等候監護人給予許可，才能使用自由聊天和變更使用者名稱。
EmailEdit	編輯電子郵件
EmailResend	重新傳送電子郵件
GuestContinue	以訪客身分繼續
GuardianEmailSent	已傳送監護人電子郵件
GuardianCheckEmail	別忘了請您的監護人檢查他們的電子郵件，以解鎖所有遊戲功能。
EditName	編輯名稱
Name	名稱
CreateAccountQuestion	建立帳號？
DoYouWantCreate	您是否要建立帳號？
PermissionRequired	需要許可
NeedPermissionText	我們需要 (透過電子郵件) 獲得您監護人的許可才能繼續。如果他們同意，您將能使用線上自由聊天和變更使用者名稱。請尋求成人協助您！
GuardianEmailTitle	監護人電子郵件
Send	傳送
NewEmail	新電子郵件
ConfirmEmail	確認電子郵件
EditEmail	編輯電子郵件
Loading	載入中
Welcome	歡迎
GuardianEmail	[您監護人的電子郵件]
	
BanButton	禁止進入
KickButton	踢出
ReportButton	舉報
ReportConfirmation	您已成功舉報下列使用者。
ReportBadName	不當名稱
ReportBadChat	不當聊天
ReportHacking	破解/作弊
ReportHarassment	騷擾/不當行為
ReportWhy	您舉報這個使用者的原因是？
DLLNotFoundAccountError	您在連線到線上服務時發生錯誤。在修正此問題之前，您只能以本地或自由模式進行遊戲。請稍後再試。
ContinueOffline	進行離線遊戲
WantToLogIn	您目前沒有登入任何帳號。
GoOffline	離線
PlayAsGuest	以訪客身分遊玩
LogInTitle	登入您的帳號
LogInInfoText	- 訪客帳號可以讓您不須連結帳號即可在線上遊玩，但如果您變更裝置或解除安裝《Among Us》，便無法取回您的帳號。\n- 如果您登入完整的帳號，便一律可以於未來再次登入。如果您沒有帳號，遊戲將自動為您建立一個。
LogInInfoTextSwitch	如果您登入完整的帳號，便一律可以於未來再次登入。如果您沒有帳號，遊戲將自動為您建立一個。
ControllerDisconnectedMessage	控制器已斷線
FollowUs	追蹤我們！
	
QuickChatInstructionsStart	您的遊戲已設定為「僅限快速聊天」。
QuickChatInstructionsChild	您必須獲得家長或監護人的許可才能使用完整聊天功能。
QuickChatInstructionsGuest	您必須登入以變更此項目。
QuickChatInstructionsFull	您可以在「設定」選單中變更此項目。
	
SwitchEShopBrowseAll	在 Nintendo eShop 上瀏覽所有物品
	
Download	下載
Upload	上傳
pk05_davehat	Dave 的帽子
pk05_Ellie	Ellie
pk05_Svenhat	Sven 的帽子
pk05_Burthat	Burt 的帽子
pk05_Ellryhat	Ellry 的龐克頭
pk05_monocles	雙眼眼鏡
pk05_cheesetoppat	起司高帽
pk05_Macbethhat	Mr. Macbeth 的高帽
pk05_HenryToppat	Henry 的高帽
pk05_EllieToppat	Ellie 的高帽
pk05_GeoffreyToppat	Geoffrey 的高帽
	
	
InsufficientStorageError	儲存空間不足，無法下載資源包。請在裝置上挪出空間後再試一次。
NetworkError	發生網路錯誤。請檢查連線設定後再試一次。
OtherDownloadError	發生錯誤：{0}
DownloadingLabel	正在下載 {0}
DownloadSizeLabel	下載大小：{0}MB
	
TimeRemaining	剩餘時間：{0}
DeadLabel	死亡
	
InviteFriends	邀請好友
	
NutriLabel	營養
CO2Label	CO2
RADLabel	輻射
WaterLabel	水
	
DoorlogLabel	門禁日誌
VitalsLabel	生命
OptionsLabel	自訂
ProceedLabel	繼續
StartLabel	開始
UseLabel	使用
PlayAgain	再玩一次
QuitLabel	退出
ReportLabel	舉報
SabotageLabel	破壞
VentLabel	通風口
KillLabel	殺死
DiscussLabel	討論！
SkippedVoting	已跳過投票
SkipVoteLabel	跳過投票
EmergencyMeeting	緊急會議
BodyReported	已舉報屍體
SkinLabel	外觀
HatLabel	帽子
PetLabel	寵物
AnnouncementLabel	公告
	
UploadingLabel	上傳中
ConnectionLabel	連線：
NoneLabel	無
PoorLabel	不佳
GoodLabel	良好
LogLabel	日誌
ReadingLabel	數值
WeatherDataDownload	下載氣候資料
AirshipBundle	Airship 組合包
PolusBundle	Polus 組合包
PolusSkinBundle	Polus 地圖造型包
MiraBundle	MIRA HQ 組合包
MiraSkinBundle	MIRA HQ 造型包
PetAlien2	壓床蟹寵物組合包
PetAlien1	腦洞蟲寵物組合包
PetAnimal	倉鼠球寵物組合包
PetCrewmate	迷你船員組合包
PetStickmin	Stickmin 寵物組合包
PrisonerSkin	囚犯
Cyborg_RHM	得力助手重生
CCC_Officer	混亂控管中心主任
BeginLabel	開始
QuietLabel	噓！
VentCleaning	清理通風口
CleanUp	清理
ProgressLabel	進度：
TermsOfUseTitle	使用條款
PPAndToUTitle	隱私權政策與使用條款
	
ErrorNotAuthenticated	《Among Us》伺服器無法驗證您的身分。\r\n\n您必須擁有《Among Us》帳號才能線上遊玩 (訪客帳號也可以！)。
ComePlayDiscord	來和我一起玩《Among Us》吧！ 
ShowAccountSupportID5	顯示帳號支援識別碼
ShowAccountSupportID4	再按 4 次以顯示
ShowAccountSupportID3	不要分享這組識別碼
ShowAccountSupportID2	直播期間請勿點擊
ShowAccountSupportID1	務必給我看這組識別碼
SupportIDLabel	支援識別碼： {0}
YouAreNotOnline	您不在線上。
NoDeadBodiesFound	未發現屍體
SupportEmail	如有任何支援相關問題，請連絡 support@innersloth.com。
PerfectLabel	完美
