KEY ID	Spanish (EU)
QCAccAIsLying_QCCrewNoOne	nadie está mintiendo
QCAccAIsLyingNeg_QCCrewMe	yo estoy diciendo la verdad
QCAccAIsLyingNeg	{0} dice la verdad
QCAccAIsLyingNeg_QCCrewNoOne	nadie está diciendo la verdad
QCAccVoteA_QCCrewMe	votadme
QCAccVoteA	votad a {0}
QCAccVoteA_QCCrewNoOne	no votéis a nadie
QCAccVoteANeg_QCCrewMe	no me votéis
QCAccVoteANeg	no votéis a {0}
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	yo no he informado del cadáver
QCAccADidntReport	{0} no ha informado del cadáver
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	yo estaba
QCResAWas	{0} estaba
QCResAWas_QCCrewNoOne	nadie estaba
QCResAWasNeg_QCCrewMe	yo no estaba
QCResAWasNeg	{0} no estaba
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	yo lo hice
QCResADid	{0} lo hizo
QCResADid_QCCrewNoOne	nadie lo hizo
QCResADidNeg_QCCrewMe	yo no lo hice
QCResADidNeg	{0} no lo hizo
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	yo estaba en: {1}
QCResAWasAtB	{0} estaba en: {1}
QCResAWasAtB_QCCrewNoOne_ANY	nadie estaba en: {1}
QCResAWasAtBNeg_QCCrewMe_ANY	yo no estaba en: {1}
QCResAWasAtBNeg	{0} no estaba en: {1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	¿quién estaba conmigo?
QCQstWhoWasWith	¿quién estaba con {0}?
QCQstWhoWasWith_QCCrewNoOne	¿quién estaba a solas?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	¿qué estaba haciendo {0}?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	¿dónde estaba {0}?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	yo he visto a {1}
QCStaASawB_QCCrewMe_QCCrewNoOne	yo no he visto a nadie
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0} me ha visto
QCStaASawB	{0} ha visto a {1}
QCStaASawB_ANY_QCCrewNoOne	{0} no ha visto a nadie
QCStaASawB_QCCrewNoOne_QCCrewMe	nadie me ha visto
QCStaASawB_QCCrewNoOne_ANY	nadie ha visto a {1}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	nadie ha visto a nadie
QCStaAWasWithB_QCCrewMe_ANY	yo estaba con {1}
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	yo no estaba con nadie
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0} estaba conmigo
QCStaAWasWithB	{0} estaba con {1}
QCStaAWasWithB_ANY_QCCrewNoOne	{0} no estaba con nadie
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	nadie estaba conmigo
QCStaAWasWithB_QCCrewNoOne_ANY	nadie estaba con {1}
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	nadie estaba con nadie
QCStaADidB_QCCrewMe_ANY	yo me encargaba de: {1}
QCStaADidB	{0} se encargaba de: {1}
QCStaADidB_QCCrewNoOne_ANY	nadie se encargaba de: {1}
QCStaASelfReported_QCCrewMe	yo he informado de mi propio crimen
QCStaASelfReported	{0} ha informado de su propio crimen
QCStaASelfReported_QCCrewNoOne	nadie ha informado de su propio crimen
QCStaACalledMeeting_QCCrewMe	yo he convocado la reunión
QCStaACalledMeeting	{0} ha convocado la reunión
QCStaACalledMeeting_QCCrewNoOne	nadie ha convocado la reunión
QCMore	MÁS
SecurityLogsSystem	Registros de seguridad
SecurityCamsSystem	Cámaras de seguridad
AdminMapSystem	Mapa de administración
VitalsSystem	Monitor de constantes
EngagementScreenSignIn	Iniciando sesión...
SaveGameOutOfSpaceConfirm	Continuar
EngagementScreen	Pulsa un botón para empezar.
SaveGameOutOfSpaceMessage	¿Quieres continuar sin guardar?
SaveGameOutOfSpaceConfirm	Continuar
SaveGameOutOfSpaceCancel	Reintentar
Success	¡Hecho!
Failed	¡Error!
ErrorCreate	No se ha podido crear tu cuenta. Vuelve a intentarlo más tarde.
SuccessCreate	¡Has creado una cuenta!
Close	Cerrar
ErrorLogIn	No se ha podido iniciar sesión con tu cuenta. Vuelve a intentarlo más tarde.
SuccessLogIn	¡Has iniciado sesión con tu cuenta!
AccountInfo	DATOS DE LA CUENTA
Account	CUENTA
UserName	NOMBRE DE USUARIO
Height	Altura
Weight	Peso
SignIn	Iniciar sesión
CreateAccount	Crear cuenta
RequestPermission	Solicitar permiso
RandomizeName	Nombre aleatorio
AccountLinking	Vincular cuenta
ChangeName	Cambiar nombre
LogOut	Cerrar sesión
GuardianWait	Debes esperar a que tu tutor legal te dé permiso para usar el chat libre y cambiar tu nombre de usuario.
EmailEdit	Editar email
EmailResend	Reenviar email
GuestContinue	Continuar como invitado
GuardianEmailSent	Email enviado a tu tutor
GuardianCheckEmail	Recuerda que tu tutor legal debe leer el email para desbloquear todas las funciones del juego.
EditName	Editar nombre
Name	Nombre
CreateAccountQuestion	¿Crear cuenta?
DoYouWantCreate	¿Quieres crear una cuenta?
PermissionRequired	Permiso necesario
NeedPermissionText	Tenemos que pedirle a tu tutor legal (mediante un email) permiso para que puedas continuar. Si accede, podrás usar el chat libre en línea y cambiar tu nombre de usuario. ¡Pide a un adulto que te ayude con esto!
GuardianEmailTitle	Email del tutor
Send	Enviar
NewEmail	Nuevo email
ConfirmEmail	Confirmar email
EditEmail	Editar email
Loading	Cargando...
Welcome	HOLA
GuardianEmail	[el email de tu tutor legal]
	
BanButton	BLOQUEA
KickButton	EXPULSA
ReportButton	REPORTA
ReportConfirmation	Has reportado al siguiente usuario.
ReportBadName	Nombre inapropiado
ReportBadChat	Conducta inapropiada en el chat
ReportHacking	Hackear/Hacer trampas
ReportHarassment	Acoso/Conducta inapropiada
ReportWhy	¿Por qué quieres informar sobre este usuario?
DLLNotFoundAccountError	No se ha podido conectar con los servicios en línea. Hasta que esto se solucione, solo puedes jugar a los modos local y libre. Vuelve a intentarlo más tarde.
ContinueOffline	Jugar sin conexión
WantToLogIn	No has iniciado sesión en ninguna cuenta.
GoOffline	Desconectarse
PlayAsGuest	Jugar como invitado
LogInTitle	Iniciar sesión con una cuenta
LogInInfoText	— Acceder como invitado te permite jugar en línea sin vincular ninguna cuenta, pero no podrás recuperarla si cambias de dispositivo o desinstalas Among Us.\n— Si accedes con una cuenta completa, siempre podrás volver a iniciar sesión. Si no tienes cuenta, se generará una para ti automáticamente.
LogInInfoTextSwitch	Si accedes con una cuenta completa, siempre podrás volver a iniciar sesión. Si no tienes cuenta, se generará una para ti automáticamente.
ControllerDisconnectedMessage	Mando desconectado
FollowUs	¡Síguenos!
	
QuickChatInstructionsStart	Tus ajustes de chat del juego indican «Solo chat rápido».
QuickChatInstructionsChild	Debes pedir permiso a tu progenitor o tutor legal para acceder al chat completo.
QuickChatInstructionsGuest	Debes iniciar sesión para cambiar esto.
QuickChatInstructionsFull	Puedes cambiar esto en el menú de ajustes.
	
SwitchEShopBrowseAll	Echa un vistazo a todos los artículos de Nintendo eShop.
	
Download	Descargar
Upload	Subir
pk05_davehat	Gorro de Dave
pk05_Ellie	Ellie
pk05_Svenhat	Gorro de Sven
pk05_Burthat	Gorro de Burt
pk05_Ellryhat	Cresta de Ellry
pk05_monocles	Monóculo doble
pk05_cheesetoppat	Chistera de queso
pk05_Macbethhat	Chistera del Sr. Macbeth
pk05_HenryToppat	Chistera de Henry
pk05_EllieToppat	Chistera de Ellie
pk05_GeoffreyToppat	Chistera de Geoffrey
	
	
InsufficientStorageError	No hay espacio de almacenamiento suficiente para descargar el pack. Libera espacio en tu dispositivo y vuelve a intentarlo.
NetworkError	Se ha producido un error de red. Comprueba tus ajustes de conexión y vuelve a intentarlo.
OtherDownloadError	Se ha producido un error: {0}
DownloadingLabel	Descargando {0}...
DownloadSizeLabel	Tamaño de la descarga: {0} MB
	
TimeRemaining	Tiempo restante: {0}
DeadLabel	KO
	
InviteFriends	Invitar amigos
	
NutriLabel	NUTR.
CO2Label	CO2
RADLabel	RADIAC.
WaterLabel	AGUA
	
DoorlogLabel	PUERTAS
VitalsLabel	CONSTANTES
OptionsLabel	PERSONALIZAR
ProceedLabel	CONTINUAR
StartLabel	EMPEZAR
UseLabel	USAR
PlayAgain	VOLVER A JUGAR
QuitLabel	ABANDONAR
ReportLabel	INFORMAR
SabotageLabel	SABOTEAR
VentLabel	CONDUCTO
KillLabel	MATAR
DiscussLabel	¡A DISCUTIR!
SkippedVoting	ABSTENCIÓN
SkipVoteLabel	ABSTENERSE
EmergencyMeeting	REUNIÓN URGENTE
BodyReported	INFORME DE CADÁVER
SkinLabel	DISFRACES
HatLabel	GORROS
PetLabel	MASCOTAS
AnnouncementLabel	ANUNCIOS
	
UploadingLabel	SUBIENDO...
ConnectionLabel	Conexión:
NoneLabel	NINGUNA
PoorLabel	MALA
GoodLabel	BUENA
LogLabel	REGISTRO
ReadingLabel	LECTURA
WeatherDataDownload	DESCARGA DE DATOS DE CLIMA
AirshipBundle	Lote de Airship
PolusBundle	Lote de Polus
PolusSkinBundle	Lote de disfraces de Polus
MiraBundle	Lote de MIRA HQ
MiraSkinBundle	Lote de disfraces de MIRA HQ
PetAlien2	Lote de mascota cangrejo
PetAlien1	Lote de mascota babosa cerebral
PetAnimal	Lote de mascota hámster
PetCrewmate	Lote de minitripulante
PetStickmin	Lote de mascota Stickmin
PrisonerSkin	Prisionero
Cyborg_RHM	Lugarteniente renacido
CCC_Officer	Jefe del Centro de Contención del Caos
BeginLabel	EMPEZAR
QuietLabel	¡SHHH!
VentCleaning	Limpiar conducto
CleanUp	Limpiar
ProgressLabel	Progreso:
TermsOfUseTitle	Términos de uso
PPAndToUTitle	Política de privacidad y Términos de uso
	
ErrorNotAuthenticated	Los servidores de Among Us no han podido autentificarte.\r\n\nDebes tener una cuenta de Among Us para jugar en línea. ¡Sirve una cuenta de invitado!
ComePlayDiscord	¡Ven a jugar a Among Us conmigo! 
ShowAccountSupportID5	Mostrar ID de asistencia de la cuenta
ShowAccountSupportID4	Pulsa 4 veces más para mostrarlo
ShowAccountSupportID3	No compartas este ID
ShowAccountSupportID2	No continúes si estás retransmitiendo
ShowAccountSupportID1	Mostrar ya el ID
SupportIDLabel	ID de asistencia: {0}
YouAreNotOnline	No estás en línea.
NoDeadBodiesFound	No se han encontrado cadáveres
SupportEmail	Escríbenos a support@innersloth.com para solicitar asistencia.
PerfectLabel	PERFECTA
