KEY ID	German
QCAccASawBVentNeg_QCCrewNoOne_QCCrewMe	Niemand hat mich je in einem Schacht gesehen.
QCAccASawBVentNeg_QCCrewNoOne_ANY	Niemand hat {1} in einem Schacht gesehen.
QCAccASawBVentNeg_QCCrewNoOne_QCCrewNoOne	Niemand hat jemals jemanden in einem Schacht gesehen.
QCAccAWasChasingB_QCCrewMe_ANY	Ich habe {1} verfolgt.
QCAccAWasChasingB_QCCrewMe_QCCrewNoOne	Ich habe niemanden verfolgt.
QCAccAWasChasingB_QCCrewMe_QCCrewMe	
QCAccAWasChasingB_ANY_QCCrewMe	{0} hat mich verfolgt.
QCAccAWasChasingB	{0} hat {1} verfolgt.
QCAccAWasChasingB_ANY_QCCrewNoOne	{0} hat niemanden verfolgt.
QCAccAWasChasingB_QCCrewNoOne_QCCrewMe	Niemand hat mich verfolgt.
QCAccAWasChasingB_QCCrewNoOne_ANY	Niemand hat {1} verfolgt.
QCAccAWasChasingB_QCCrewNoOne_QCCrewNoOne	Niemand hat jemanden verfolgt.
QCAccAWasChasingBNeg_QCCrewMe_ANY	Ich habe {1} nicht verfolgt.
QCAccAWasChasingBNeg_QCCrewMe_QCCrewNoOne	Ich habe niemanden verfolgt.
QCAccAWasChasingBNeg_QCCrewMe_QCCrewMe	
QCAccAWasChasingBNeg_ANY_QCCrewMe	{0} hat mich nicht verfolgt.
QCAccAWasChasingBNeg	{0} hat {1} nicht verfolgt.
QCAccAWasChasingBNeg_ANY_QCCrewNoOne	{0} hat niemanden verfolgt.
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewMe	
QCAccAWasChasingBNeg_QCCrewNoOne_ANY	
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsLying_QCCrewMe	Ich lüge.
QCAccAIsLying	{0} lügt.
QCAccAIsLying_QCCrewNoOne	Niemand lügt.
QCAccAIsLyingNeg_QCCrewMe	Ich sage die Wahrheit.
QCAccAIsLyingNeg	{0} sagt die Wahrheit.
QCAccAIsLyingNeg_QCCrewNoOne	Niemand sagt die Wahrheit.
QCAccVoteA_QCCrewMe	Stimmt für mich.
QCAccVoteA	Stimmt für {0}.
QCAccVoteA_QCCrewNoOne	Wählt niemanden raus.
QCAccVoteANeg_QCCrewMe	Stimmt nicht für mich.
QCAccVoteANeg	Stimmt nicht für {0}.
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	Ich habe die Leiche nicht gemeldet.
QCAccADidntReport	{0} hat die Leiche nicht gemeldet.
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	Ich.
QCResAWas	{0}.
QCResAWas_QCCrewNoOne	Niemand.
QCResAWasNeg_QCCrewMe	Ich nicht.
QCResAWasNeg	{0} nicht.
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	Ich.
QCResADid	{0}.
QCResADid_QCCrewNoOne	Niemand.
QCResADidNeg_QCCrewMe	Ich nicht.
QCResADidNeg	{0} nicht.
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	Ich war dort: {1}.
QCResAWasAtB	{0} war dort: {1}.
QCResAWasAtB_QCCrewNoOne_ANY	Niemand war dort: {1}.
QCResAWasAtBNeg_QCCrewMe_ANY	Ich war nicht dort: {1}.
QCResAWasAtBNeg	{0} war nicht dort: {1}.
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	Wer war bei mir?
QCQstWhoWasWith	Wer war bei {0}?
QCQstWhoWasWith_QCCrewNoOne	Wer war allein?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	Was hat {0} getan?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	Wo war {0}?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	Ich habe {1} gesehen.
QCStaASawB_QCCrewMe_QCCrewNoOne	Ich habe niemanden gesehen.
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0} hat mich gesehen.
QCStaASawB	{0} hat {1} gesehen.
QCStaASawB_ANY_QCCrewNoOne	{0} hat niemanden gesehen.
QCStaASawB_QCCrewNoOne_QCCrewMe	Niemand hat mich gesehen.
QCStaASawB_QCCrewNoOne_ANY	Niemand hat {1} gesehen.
QCStaASawB_QCCrewNoOne_QCCrewNoOne	Niemand hat jemanden gesehen.
QCStaAWasWithB_QCCrewMe_ANY	Ich war bei {1}.
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	Ich war bei niemandem.
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0} war bei mir.
QCStaAWasWithB	{0} war bei {1}.
QCStaAWasWithB_ANY_QCCrewNoOne	{0} war bei niemandem.
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	Niemand war bei mir.
QCStaAWasWithB_QCCrewNoOne_ANY	Niemand war bei {1}.
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	Niemand war bei jemandem.
QCStaADidB_QCCrewMe_ANY	Ich habe {1} erledigt.
QCStaADidB	{0} hat {1} erledigt.
QCStaADidB_QCCrewNoOne_ANY	Niemand hat {1} erledigt.
QCStaASelfReported_QCCrewMe	Ich habe mich selbst gemeldet.
QCStaASelfReported	{0} hat sich selbst gemeldet.
QCStaASelfReported_QCCrewNoOne	Niemand hat sich selbst gemeldet.
QCStaACalledMeeting_QCCrewMe	Ich habe ein Meeting einberufen.
QCStaACalledMeeting	{0} hat ein Meeting einberufen.
QCStaACalledMeeting_QCCrewNoOne	Niemand hat ein Meeting einberufen.
QCMore	MEHR
SecurityLogsSystem	Security-Logs
SecurityCamsSystem	Security-Kameras
AdminMapSystem	Admin-Karte
VitalsSystem	Lebensmonitor
EngagementScreenSignIn	Anmeldung läuft ...
SaveGameOutOfSpaceConfirm	Fortfahren
EngagementScreen	Zum Start beliebigen Button drücken.
SaveGameOutOfSpaceMessage	Möchtest du fortfahren, ohne zu speichern?
SaveGameOutOfSpaceConfirm	Fortfahren
SaveGameOutOfSpaceCancel	Erneut versuchen
Success	Erfolg!
Failed	Fehlschlag!
ErrorCreate	Beim Anlegen deines Kontos ist etwas schiefgegangen. Bitte versuche es später wieder.
SuccessCreate	Du hast erfolgreich ein Konto angelegt!
Close	Schließen
ErrorLogIn	Bei der Anmeldung bei deinem Konto ist etwas schiefgegangen. Bitte versuche es später wieder.
SuccessLogIn	Du hast dich erfolgreich bei deinem Konto angemeldet!
AccountInfo	KONTO-INFO
Account	KONTO
UserName	BENUTZERNAME
Height	Größe
Weight	Gewicht
SignIn	Anmelden
CreateAccount	Konto anlegen
RequestPermission	Erlaubnis einholen
RandomizeName	Zufälliger Name
AccountLinking	Kontoverknüpfung
ChangeName	Namen ändern
LogOut	Abmelden
GuardianWait	Du brauchst die Erlaubnis deiner Erziehungsberechtigten, um den Free-Chat zu nutzen und deinen Benutzernamen zu ändern.
EmailEdit	E-Mail bearbeiten
EmailResend	E-Mail erneut senden
GuestContinue	Als Gast fortfahren
GuardianEmailSent	E-Mail an Erziehungsberechtigte*n gesendet
GuardianCheckEmail	Erinnere deine Erziehungsberechtigten daran, ihre E-Mails zu lesen und alle Funktionen des Spiels freizuschalten.
EditName	Namen bearbeiten
Name	Name
CreateAccountQuestion	Konto anlegen?
DoYouWantCreate	Möchtest du ein Konto anlegen?
PermissionRequired	Erlaubnis erforderlich
NeedPermissionText	Wir müssen deine Erziehungsberechtigten (per E-Mail) um die Erlaubnis bitten, fortzufahren. Wenn sie zustimmen, kannst du den Free-Chat online nutzen und deinen Benutzernamen ändern. Bitte Erwachsene, dir dabei zu helfen!
GuardianEmailTitle	E-Mail-Adresse des/der Erziehungsberechtigten
Send	Senden
NewEmail	Neue E-Mail-Adresse
ConfirmEmail	E-Mail-Adresse bestätigen
EditEmail	E-Mail-Adresse bearbeiten
Loading	Wird geladen
Welcome	WILLKOMMEN
GuardianEmail	[E-Mail-Adresse des/der Erziehungsberechtigten]
	
BanButton	SPERREN
KickButton	RAUS
ReportButton	MELDEN
ReportConfirmation	Du hast den folgenden Benutzer erfolgreich gemeldet.
ReportBadName	Unangebrachter Name
ReportBadChat	Unangebrachte Chatnachricht
ReportHacking	Hacking/Cheating
ReportHarassment	Belästigung/Fehlverhalten
ReportWhy	Warum meldest du diesen Nutzer?
DLLNotFoundAccountError	Beim Versuch, dich mit dem Online-Dienst zu verbinden, ist etwas schiefgegangen. Bis das Problem behoben ist, kannst du nur im Modus Lokal oder Freies Spiel spielen. Versuche es später noch einmal.
ContinueOffline	Offline spielen
WantToLogIn	Du bist zurzeit bei keinem Konto angemeldet.
GoOffline	Offline gehen
PlayAsGuest	Als Gast spielen
LogInTitle	Bei deinem Konto anmelden
LogInInfoText	– Mit einem Gastkonto kannst du online spielen, ohne ein Konto zu verknüpfen; es kann allerdings nicht wiederhergestellt werden, wenn du das Gerät wechselst oder Among Us deinstallierst.\n– Wenn du dich mit einem eigenen Benutzerkonto registrierst, kannst du dich später jederzeit erneut anmelden. Wenn du kein Konto hast, wird automatisch eins für dich angelegt.
LogInInfoTextSwitch	Wenn du dich mit einem eigenen Benutzerkonto registrierst, kannst du dich später jederzeit erneut anmelden. Wenn du kein Konto hast, wird automatisch eins für dich angelegt.
ControllerDisconnectedMessage	Controller getrennt
FollowUs	Folge uns!
	
QuickChatInstructionsStart	Dein Chat im Spiel ist auf „Nur Quick-Chat“ eingestellt.
QuickChatInstructionsChild	Du brauchst die Erlaubnis eines/einer Erziehungsberechtigten, um auf die Vollversion des Chats zuzugreifen.
QuickChatInstructionsGuest	Du musst angemeldet sein, um das zu ändern.
QuickChatInstructionsFull	Du kannst das im Menü Einstellungen ändern.
	
SwitchEShopBrowseAll	Schau dir alle Objekte im Nintendo eShop an.
	
Download	Download
Upload	Upload
pk05_davehat	Daves Hut
pk05_Ellie	Ellie
pk05_Svenhat	Svens Hut
pk05_Burthat	Burts Hut
pk05_Ellryhat	Ellrys Iro
pk05_monocles	Doppelmonokel
pk05_cheesetoppat	Käsezylinder
pk05_Macbethhat	Mr. Macbeths Zylinder
pk05_HenryToppat	Henrys Zylinder
pk05_EllieToppat	Ellies Zylinder
pk05_GeoffreyToppat	Geoffreys Zylinder
	
	
InsufficientStorageError	Der Speicherplatz reicht nicht aus, um das Paket herunterzuladen. Schaffe bitte Platz auf deinem Gerät und versuche es erneut.
NetworkError	Ein Netzwerkfehler ist aufgetreten. Bitte überprüfe deine Verbindungseinstellungen und versuche es erneut.
OtherDownloadError	Ein Fehler ist aufgetreten: {0}
DownloadingLabel	Herunterladen von {0}
DownloadSizeLabel	Download-Größe: {0} MB
	
TimeRemaining	Verbleibende Zeit: {0}
DeadLabel	TOT
	
InviteFriends	Freunde einladen
	
NutriLabel	NAHRUNG
CO2Label	CO2
RADLabel	RAD
WaterLabel	WASSER
	
DoorlogLabel	TÜR-LOG
VitalsLabel	LEBEN
OptionsLabel	ANPASSEN
ProceedLabel	WEITER
StartLabel	START
UseLabel	NUTZEN
PlayAgain	ERNEUT SPIELEN
QuitLabel	BEENDEN
ReportLabel	MELDEN
SabotageLabel	SABOTAGE
VentLabel	SCHACHT
KillLabel	KILL
DiscussLabel	BESPRECHUNG!
SkippedVoting	ÜBERSPRUNGEN
SkipVoteLabel	ÜBERSPRINGEN
EmergencyMeeting	NOTFALL-MEETING
BodyReported	LEICHE GEMELDET
SkinLabel	SKINS
HatLabel	HÜTE
PetLabel	HAUSTIERE
AnnouncementLabel	ANKÜNDIGUNGEN
	
UploadingLabel	UPLOAD LÄUFT
ConnectionLabel	Verbindung:
NoneLabel	KEINE
PoorLabel	SCHLECHT
GoodLabel	GUT
LogLabel	LOG
ReadingLabel	ABLESEN
WeatherDataDownload	WETTERDATEN-DOWNLOAD
AirshipBundle	Airship-Bundle
PolusBundle	Polus-Bundle
PolusSkinBundle	Skin-Bundle Polus-Karte
MiraBundle	MIRA-HQ-Bundle
MiraSkinBundle	Skin-Bundle MIRA HQ
PetAlien2	Bettkrebs-Bundle
PetAlien1	Hirnschnecke-Bundle
PetAnimal	Hamster-Bundle
PetCrewmate	Mini-Besatzung-Bundle
PetStickmin	Stickmin-Bundle
PrisonerSkin	Gefangener
Cyborg_RHM	Erneuerter Handlanger
CCC_Officer	Chef der Contra-Chaos-Centrale
BeginLabel	STARTEN
QuietLabel	PSSSST!
VentCleaning	Schacht putzen
CleanUp	Saubermachen
ProgressLabel	Fortschritt:
TermsOfUseTitle	Nutzungsbedingungen
PPAndToUTitle	Datenschutzrichtlinie und Nutzungsbedingungen
	
ErrorNotAuthenticated	Die Server von Among Us konnten dich nicht identifizieren.\r\n\nDu brauchst ein Konto bei Among Us, um online zu spielen. (Gastkonto ist okay!)
ComePlayDiscord	Spiel mit mir Among Us! 
ShowAccountSupportID5	Konto-Support-ID anzeigen
ShowAccountSupportID4	Zum Anzeigen noch 4-mal drücken
ShowAccountSupportID3	Diese ID nicht weitergeben
ShowAccountSupportID2	Während des Streams nicht klicken
ShowAccountSupportID1	Diese ID unbedingt anzeigen
SupportIDLabel	Support-ID: {0}
YouAreNotOnline	Du bist nicht online.
NoDeadBodiesFound	Keine Leichen gefunden
SupportEmail	Bitte wende dich mit Support-Anfragen an support@innersloth.com.
PerfectLabel	PERFEKT
