KEY ID	French
QCAccAWasChasingBNeg_QCCrewMe_QCCrewNoOne	Je ne poursuivais personne
QCAccAWasChasingBNeg_QCCrewMe_QCCrewMe	
QCAccAWasChasingBNeg_ANY_QCCrewMe	{0} ne me poursuivait pas
QCAccAWasChasingBNeg	{0} ne poursuivait pas {1}
QCAccAWasChasingBNeg_ANY_QCCrewNoOne	{0} ne poursuivait personne
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewMe	
QCAccAWasChasingBNeg_QCCrewNoOne_ANY	
QCAccAWasChasingBNeg_QCCrewNoOne_QCCrewNoOne	
QCAccAIsLying_QCCrewMe	Je mens
QCAccAIsLying	{0} ment
QCAccAIsLying_QCCrewNoOne	Personne ne ment
QCAccAIsLyingNeg_QCCrewMe	Je dis la vérité
QCAccAIsLyingNeg	{0} dit la vérité
QCAccAIsLyingNeg_QCCrewNoOne	Tout le monde ment
QCAccVoteA_QCCrewMe	Votez contre moi
QCAccVoteA	Votez contre {0}
QCAccVoteA_QCCrewNoOne	Ne votez pas
QCAccVoteANeg_QCCrewMe	Ne votez pas contre moi
QCAccVoteANeg	Ne votez pas contre {0}
QCAccVoteANeg_QCCrewNoOne	
QCAccADidntReport_QCCrewMe	Je n'ai pas signalé le corps
QCAccADidntReport	{0} n'a pas signalé le corps
QCAccADidntReport_QCCrewNoOne	
QCResAWas_QCCrewMe	C'était moi
QCResAWas	C'était {0}
QCResAWas_QCCrewNoOne	Ce n'était personne
QCResAWasNeg_QCCrewMe	Ce n'était pas moi
QCResAWasNeg	Ce n'était pas {0}
QCResAWasNeg_QCCrewNoOne	
QCResADid_QCCrewMe	Je l'ai fait
QCResADid	{0} l'a fait
QCResADid_QCCrewNoOne	Personne ne l'a fait
QCResADidNeg_QCCrewMe	Je ne l'ai pas fait
QCResADidNeg	{0} ne l'a pas fait
QCResADidNeg_QCCrewNoOne	
QCResAWasAtB_QCCrewMe_ANY	J'étais ici : {1}
QCResAWasAtB	{0} était ici : {1}
QCResAWasAtB_QCCrewNoOne_ANY	Personne n'était ici : {1}
QCResAWasAtBNeg_QCCrewMe_ANY	Je n'étais pas ici : {1}
QCResAWasAtBNeg	{0} n'était pas ici : {1}
QCResAWasAtBNeg_QCCrewNoOne_ANY	
QCQstWhoWasWith_QCCrewMe	Qui était avec moi ?
QCQstWhoWasWith	Qui était avec {0} ?
QCQstWhoWasWith_QCCrewNoOne	Qui était tout(e) seul(e) ?
QCQstWhatWasADoing_QCCrewMe	
QCQstWhatWasADoing	Que faisait {0} ?
QCQstWhatWasADoing_QCCrewNoOne	
QCQstWhereWasA_QCCrewMe	
QCQstWhereWasA	Où était {0} ?
QCQstWhereWasA_QCCrewNoOne	
QCStaASawB_QCCrewMe_ANY	J'ai vu {1}
QCStaASawB_QCCrewMe_QCCrewNoOne	Je n'ai vu personne
QCStaASawB_QCCrewMe_QCCrewMe	
QCStaASawB_ANY_QCCrewMe	{0} m'a vu
QCStaASawB	{0} a vu {1}
QCStaASawB_ANY_QCCrewNoOne	{0} n'a vu personne
QCStaASawB_QCCrewNoOne_QCCrewMe	Personne ne m'a vu
QCStaASawB_QCCrewNoOne_ANY	Personne n'a vu {1}
QCStaASawB_QCCrewNoOne_QCCrewNoOne	Personne n'a vu quiconque
QCStaAWasWithB_QCCrewMe_ANY	J'étais avec {1}
QCStaAWasWithB_QCCrewMe_QCCrewNoOne	J'étais tout(e) seul(e)
QCStaAWasWithB_QCCrewMe_QCCrewMe	
QCStaAWasWithB_ANY_QCCrewMe	{0} était avec moi
QCStaAWasWithB	{0} était avec {1}
QCStaAWasWithB_ANY_QCCrewNoOne	{0} était tout(e) seul(e)
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	Personne n'était avec moi
QCStaAWasWithB_QCCrewNoOne_ANY	Personne n'était avec {1}
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	Personne n'était avec quiconque
QCStaADidB_QCCrewMe_ANY	J'ai fait : {1}
QCStaADidB	{0} a fait : {1}
QCStaADidB_QCCrewNoOne_ANY	Personne n'a fait : {1}
QCStaASelfReported_QCCrewMe	Je me suis auto-signalé(e)
QCStaASelfReported	{0} s'est auto-signalé(e)
QCStaASelfReported_QCCrewNoOne	Personne ne s'est auto-signalé
QCStaACalledMeeting_QCCrewMe	J'ai demandé une réunion
QCStaACalledMeeting	{0} a demandé une réunion
QCStaACalledMeeting_QCCrewNoOne	Personne n'a demandé une réunion
QCMore	PLUS
SecurityLogsSystem	Journaux de sécurité
SecurityCamsSystem	Caméra de sécurité
AdminMapSystem	Carte d'Admin
VitalsSystem	Moniteur signes vitaux
EngagementScreenSignIn	Connexion...
SaveGameOutOfSpaceConfirm	Continuer
EngagementScreen	Appuyer sur un bouton.
SaveGameOutOfSpaceMessage	Voulez-vous continuer sans sauvegarder ?
SaveGameOutOfSpaceConfirm	Continuer
SaveGameOutOfSpaceCancel	Réessayer
Success	Succès !
Failed	Échec !
ErrorCreate	Une erreur s'est produite pendant la création de votre compte. Veuillez réessayer plus tard.
SuccessCreate	Vous avez créé un compte avec succès !
Close	Fermer
ErrorLogIn	Une erreur s'est produite pendant la connexion à votre compte. Veuillez réessayer plus tard.
SuccessLogIn	Vous vous êtes connecté(e) à votre compte avec succès !
AccountInfo	INFOS DU COMPTE
Account	COMPTE
UserName	NOM D'UTILISATEUR
Height	Taille
Weight	Poids
SignIn	Connexion
CreateAccount	Créer compte
RequestPermission	Demander autorisation
RandomizeName	Randomiser nom
AccountLinking	Jumelage du compte
ChangeName	Changer de nom
LogOut	Déconnexion
GuardianWait	Vous devez attendre que votre tuteur vous donne l'autorisation d'utiliser le Chat libre et de changer votre nom d'utilisateur.
EmailEdit	Modifier adresse
EmailResend	Renvoyer e-mail
GuestContinue	Continuer (invité)
GuardianEmailSent	E-mail envoyé au tuteur
GuardianCheckEmail	N'oubliez pas de demander à votre tuteur de consulter l'e-mail pour débloquer toutes les fonctionnalités du jeu.
EditName	Modifier nom
Name	Nom
CreateAccountQuestion	Créer compte ?
DoYouWantCreate	Voulez-vous créer un compte ?
PermissionRequired	Autorisation requise
NeedPermissionText	Nous devons demander à votre tuteur (par e-mail) l'autorisation de continuer. S'il répond oui, vous pourrez utiliser le Chat libre en ligne et changer votre nom d'utilisateur. Demandez à un adulte de vous aider !
GuardianEmailTitle	Adresse e-mail du tuteur
Send	Envoyer
NewEmail	Nouvelle adresse e-mail
ConfirmEmail	Confirmer adresse e-mail
EditEmail	Modifier adresse e-mail
Loading	Chargement
Welcome	BIENVENUE
GuardianEmail	[adresse e-mail de votre tuteur]
	
BanButton	BANNIR
KickButton	EXPULSER
ReportButton	SIGNALER
ReportConfirmation	Vous avez signalé l'utilisateur suivant avec succès.
ReportBadName	Nom inapproprié
ReportBadChat	Chat inapproprié
ReportHacking	Piratage/Tricherie
ReportHarassment	Harcèlement/Conduite abusive
ReportWhy	Pourquoi signalez-vous cet utilisateur ?
DLLNotFoundAccountError	Votre accès aux services en ligne semble rencontrer un petit souci. Tant que ce problème n'est pas réglé, vous ne pouvez jouer qu'en modes Local ou Jeu libre. Veuillez réessayer plus tard.
ContinueOffline	Jouer hors ligne
WantToLogIn	Vous n'êtes actuellement pas connecté à un compte.
GoOffline	Jouer hors ligne
PlayAsGuest	Jouer en tant qu'invité
LogInTitle	Connectez-vous à votre compte
LogInInfoText	- Un compte invité vous permet de jouer en ligne sans lier de compte, mais attention, un compte invité ne peut pas être récupéré si vous changez d'appareil ou désinstallez Among Us.\n- Si vous vous connectez à un compte complet, vous pourrez toujours vous reconnecter plus tard. Si vous n'avez pas de compte, un compte sera créé pour vous automatiquement.
LogInInfoTextSwitch	Si vous vous connectez à un compte complet, vous pourrez toujours vous reconnecter plus tard. Si vous n'avez pas de compte, un compte sera créé pour vous automatiquement.
ControllerDisconnectedMessage	Manette déconnectée
FollowUs	Suivez-nous !
	
QuickChatInstructionsStart	Vos paramètres sont réglés sur « Chat rapide uniquement ».
QuickChatInstructionsChild	Vous devez obtenir l'accord de vos parents pour accéder au chat complet.
QuickChatInstructionsGuest	Vous devez être connecté pour modifier cette option.
QuickChatInstructionsFull	Vous pouvez modifier cette option depuis le menu Réglages.
	
SwitchEShopBrowseAll	Parcourir tous les articles sur Nintendo eShop
	
Download	Télécharger
Upload	Transférer
pk05_davehat	Casquette de Dave
pk05_Ellie	Ellie
pk05_Svenhat	Chapeau de Sven
pk05_Burthat	Chapeau de Burt
pk05_Ellryhat	Mohawk d'Ellry
pk05_monocles	Double monocle
pk05_cheesetoppat	Haut-de-forme fromage
pk05_Macbethhat	Haut-de-forme de M. Macbeth
pk05_HenryToppat	Haut-de-forme d'Henry
pk05_EllieToppat	Haut-de-forme d'Ellie
pk05_GeoffreyToppat	Haut-de-forme de Geoffrey
	
	
InsufficientStorageError	L'espace de stockage était insuffisant pour télécharger le pack d'éléments. Veuillez libérer de l'espace sur votre appareil et réessayer.
NetworkError	Une erreur de réseau s'est produite. Veuillez vérifier vos paramètres de connexion et réessayer.
OtherDownloadError	Une erreur s'est produite : {0}
DownloadingLabel	Téléchargement {0}
DownloadSizeLabel	Taille du téléchargement : {0} Mo
	
TimeRemaining	Durée restante : {0}
DeadLabel	MORT(S)
	
InviteFriends	Inviter des amis
	
NutriLabel	NUTRI
CO2Label	CO2
RADLabel	RAD
WaterLabel	EAU
	
DoorlogLabel	PORTES
VitalsLabel	SIGNES VITAUX
OptionsLabel	PERSONNALISER
ProceedLabel	CONTINUER
StartLabel	DÉMARRER
UseLabel	UTILISER
PlayAgain	REJOUER
QuitLabel	QUITTER
ReportLabel	SIGNALER
SabotageLabel	SABOTAGE
VentLabel	CONDUIT
KillLabel	TUER
DiscussLabel	DISCUTEZ !
SkippedVoting	VOTE PASSÉ
SkipVoteLabel	PASSER VOTE
EmergencyMeeting	RÉUNION D'URGENCE
BodyReported	CADAVRE SIGNALÉ
SkinLabel	SKINS
HatLabel	CHAPEAUX
PetLabel	BESTIOLES
AnnouncementLabel	ANNONCES
	
UploadingLabel	TRANSFERT
ConnectionLabel	Connexion :
NoneLabel	AUCUNE
PoorLabel	FAIBLE
GoodLabel	BONNE
LogLabel	REGISTRE
ReadingLabel	CAPTEUR
WeatherDataDownload	TÉLÉCHARGEMENT DONNÉES MÉTÉO
AirshipBundle	Pack Airship
PolusBundle	Pack Polus
PolusSkinBundle	Pack de skins Polus
MiraBundle	Pack MIRA HQ
MiraSkinBundle	Pack de skins MIRA HQ
PetAlien2	Pack de bestioles Krabouille
PetAlien1	Pack de bestioles Poulpe
PetAnimal	Pack de bestioles Hamster
PetCrewmate	Pack Mini-coéquipier
PetStickmin	Pack de bestioles Stickmin
PrisonerSkin	Détenu
Cyborg_RHM	Renaissance du bras droit
CCC_Officer	Chef du Centre d'endiguement du chaos
BeginLabel	COMMENCER
QuietLabel	CHUUUUUUT !
VentCleaning	Nettoyer conduit d'aération
CleanUp	Nettoyer
ProgressLabel	Progression :
TermsOfUseTitle	Conditions d'utilisation
PPAndToUTitle	Charte de confidentialité et Conditions d'utilisation
	
ErrorNotAuthenticated	Les serveurs d'Among Us n'ont pas pu vous authentifier.\r\n\nVous devez disposer d'un compte Among Us pour jouer en ligne (un compte invité est également accepté !).
ComePlayDiscord	Viens jouer à Among Us avec moi ! 
ShowAccountSupportID5	Afficher l'ID d'assistance du compte
ShowAccountSupportID4	Appuyez 4 fois de plus pour afficher
ShowAccountSupportID3	Ne pas partager cet ID
ShowAccountSupportID2	Ne pas cliquer pendant le stream
ShowAccountSupportID1	Me montrer absolument cet ID
SupportIDLabel	ID d'assistance : {0}
YouAreNotOnline	Vous n'êtes pas en ligne.
NoDeadBodiesFound	Aucun cadavre trouvé
SupportEmail	Pour toute demande d'assistance, veuillez contacter support@innersloth.com.
PerfectLabel	PARFAIT
